id,observation_date,competitor_id,competitor_price,market_share_percentage,trend_score
57,2020-01-12,1,40.43,28.71,0.563
58,2020-01-12,2,40.83,20.04,-0.294
59,2020-01-12,1,51.59,30.93,0.043
60,2020-01-12,2,54.38,25.36,-0.235
61,2020-01-13,4,24.13,17.47,0.41
62,2020-01-13,5,44.72,16.35,-0.267
63,2020-01-13,2,34.92,27.07,-0.155
64,2020-01-13,4,31.1,14.32,-0.182
65,2020-01-13,5,33.65,13.8,-0.349
66,2020-01-14,4,40.11,15.2,-0.017
67,2020-01-14,4,42.53,20.43,-0.007
68,2020-01-14,5,50.13,13.7,-0.017
69,2020-01-14,5,36.94,7.3,-0.232
70,2020-01-15,5,32.87,6.66,0.431
71,2020-01-15,5,37.85,14.36,-0.323
72,2020-01-15,1,52.12,25.39,0.308
73,2020-01-15,2,48.85,28.1,-0.479
74,2020-01-15,2,38.81,25.61,0.467
75,2020-01-16,4,37.22,11.74,-0.03
76,2020-01-16,5,51.67,9.62,-0.289
77,2020-01-16,5,32.84,13.32,-0.205
78,2020-01-17,5,57.51,13.04,-0.112
79,2020-01-17,5,75.64,16.23,0.206
80,2020-01-18,1,52.25,29.02,0.439
81,2020-01-18,2,46.95,26.07,-0.195
82,2020-01-18,5,40.92,12.8,0.263
83,2020-01-19,4,37.25,13.51,-0.422
84,2020-01-19,5,49.51,11.42,0.172
85,2020-01-19,2,45.77,28.92,0.558
86,2020-01-20,5,63.44,10.66,0.274
87,2020-01-20,1,50.91,30.01,-0.426
88,2020-01-20,2,43.81,22.09,-0.413
89,2020-01-20,3,39.94,17.13,0.057
90,2020-01-21,2,34.77,18.57,-0.034
91,2020-01-21,4,35.29,16.22,-0.344
92,2020-01-21,4,45.12,16.78,0.094
93,2020-01-21,1,49.93,25.44,0.084
94,2020-01-21,5,46.91,12.97,-0.295
95,2020-01-21,5,41.25,13.2,0.804
96,2020-01-22,1,30.56,32.07,-0.019
97,2020-01-22,2,25.31,25.94,-0.368
98,2020-01-22,2,43.01,29.45,0.032
99,2020-01-22,1,52.69,20.61,-0.651
100,2020-01-22,4,46.7,21.99,-0.104
101,2020-01-22,3,35.89,18.79,0.102
102,2020-01-22,5,53.04,16.32,0.07
103,2020-01-22,3,43.64,19.85,-0.514
104,2020-01-22,4,32.13,13.72,-0.245
105,2020-01-23,1,43.4,34.19,0.521
106,2020-01-23,1,37.87,32.74,0.234
107,2020-01-23,1,57.27,27.22,-0.267
108,2020-01-23,1,44.57,28.38,-0.074
109,2020-01-23,3,47.18,14.03,0.091
110,2020-01-24,1,42.39,18.32,0.378
111,2020-01-24,2,41.91,22.52,0.076
112,2020-01-24,3,41.35,22.25,-0.533
113,2020-01-24,2,38.56,20.16,0.068
114,2020-01-24,5,35.61,13.03,-0.036
115,2020-01-25,4,40.84,13.82,-0.165
116,2020-01-25,1,47.8,28.94,0.203
117,2020-01-25,4,30.3,18.68,-0.589
118,2020-01-26,1,55.31,26.63,0.106
119,2020-01-26,1,33.53,30.96,-0.186
120,2020-01-26,3,35.99,17.02,-0.4
121,2020-01-26,5,55.32,14.14,0.051
122,2020-01-27,1,34.49,29.84,-0.026
123,2020-01-27,3,40.08,18.74,-0.612
124,2020-01-27,4,30.11,14.75,-0.493
125,2020-01-28,5,43.43,15.82,-0.258
126,2020-01-28,2,48.88,28.8,0.153
127,2020-01-28,2,24.87,25.96,-0.288
128,2020-01-28,5,52.84,11.39,-0.164
129,2020-01-28,3,33,20.88,-0.417
130,2020-01-29,2,51.11,19.99,0.136
131,2020-01-29,4,22.31,13.11,-0.346
132,2020-01-29,1,58.77,26.64,0.154
133,2020-01-29,4,36.61,17.34,-0.159
134,2020-01-29,1,40.55,26.03,-0.578
135,2020-01-29,1,44.44,32.9,-0.316
136,2020-01-29,2,38.06,29.44,0.332
137,2020-01-30,3,32.21,19.51,-0.291
138,2020-01-30,1,36.13,30.82,0.044
139,2020-01-30,4,30.13,13.89,0.208
140,2020-01-30,5,46.57,13.71,-0.77
141,2020-01-31,3,42.68,24.05,0.071
142,2020-01-31,4,41.81,21.11,0.7
143,2020-01-31,5,62.95,9.82,0.066
144,2020-01-31,4,38.11,14.92,-0.135
145,2020-01-31,4,36.69,18.82,-0.532
146,2020-01-31,5,36.17,18.07,-0.596
147,2020-02-01,1,26.98,29.53,-0.217
148,2020-02-01,3,32.71,13.61,-0.282
149,2020-02-01,5,65.73,10.95,-0.217
150,2020-02-01,4,33.48,21.43,0.328
151,2020-02-01,3,34.94,21.48,0.524
152,2020-02-02,5,54.83,6.41,-0.181
153,2020-02-02,5,45.39,12.91,0.29
154,2020-02-02,2,49.85,21.73,-0.601
155,2020-02-02,5,53.24,13.79,0.592
156,2020-02-02,2,35.24,24.87,-0.011
157,2020-02-03,5,63,10.95,-0.038
158,2020-02-03,2,35.59,21.63,-0.331
159,2020-02-03,1,31.03,31.69,0.096
160,2020-02-03,2,35.52,21.88,0.133
161,2020-02-03,1,37.64,29.63,-0.011
162,2020-02-04,3,35.63,22.14,-0.32
163,2020-02-04,4,52.08,12.99,0.362
164,2020-02-04,2,36.68,20.37,-0.01
165,2020-02-04,4,52.76,15.72,0.142
166,2020-02-04,3,42.97,21.01,0.274
167,2020-02-04,3,28.77,21.57,-0.582
168,2020-02-04,4,29.4,17.59,-0.368
169,2020-02-04,1,50.9,30.12,-0.325
170,2020-02-04,2,35.77,20.42,0.201
171,2020-02-05,1,42.51,30.34,0.128
172,2020-02-05,1,46.38,30.82,-0.202
173,2020-02-05,1,33.7,29.19,0.146
174,2020-02-05,4,40.81,12.33,0.145
175,2020-02-06,4,25.59,19.49,-0.018
176,2020-02-06,2,33.67,27.21,-0.13
177,2020-02-06,1,48.71,32.92,0.478
178,2020-02-06,2,41.88,22.11,-0.244
179,2020-02-07,2,39.42,26.47,-0.318
180,2020-02-07,3,42.42,23.73,-0.098
181,2020-02-07,4,43.75,13.52,-0.372
182,2020-02-07,5,41.53,19.02,-0.342
183,2020-02-07,5,40.66,9.01,-0.177
184,2020-02-07,2,48.07,26.5,0.096
185,2020-02-08,4,27.76,14.54,-0.34
186,2020-02-08,5,74.1,13.87,0.559
187,2020-02-08,1,46.09,24.95,-0.202
188,2020-02-08,3,34.76,16.54,-0.656
189,2020-02-08,3,42.41,20.82,0.042
190,2020-02-09,2,38.19,21.75,-0.466
191,2020-02-09,2,40.61,22.36,-0.034
192,2020-02-09,4,20.17,15.3,-0.152
193,2020-02-10,4,38.82,14.76,-0.326
194,2020-02-10,4,56.09,16.81,-0.145
195,2020-02-10,1,42.55,25.59,0.017
196,2020-02-10,4,35.85,16.16,0.003
197,2020-02-10,3,37.17,22.96,-0.377
198,2020-02-10,3,44.74,24.88,0.084
199,2020-02-10,5,43.86,12.37,-0.09
200,2020-02-10,4,26.52,22.3,-0.055
201,2020-02-10,5,51.98,11.67,-0.136
202,2020-02-11,5,64.45,13.2,0.005
203,2020-02-11,4,20.4,14.87,-0.325
204,2020-02-11,3,27.84,20.05,-0.453
205,2020-02-11,4,40.92,17.12,0.129
206,2020-02-11,5,54.04,9.42,-0.107
207,2020-02-11,4,25.44,20.71,0.224
208,2020-02-11,4,59.77,17.5,0.06
209,2020-02-11,1,69.12,25.64,0.14
210,2020-02-12,4,25.45,17.34,0.266
211,2020-02-12,5,52.32,13.74,0.239
212,2020-02-12,2,46.82,28.41,-0.523
213,2020-02-12,2,43.24,26.71,0.079
214,2020-02-12,1,43.52,25.47,0.058
215,2020-02-12,1,50.6,26.09,-0.628
216,2020-02-12,1,57.39,28.89,-0.232
217,2020-02-12,1,29.34,29.35,0.426
218,2020-02-13,4,40.97,23.88,0.302
219,2020-02-13,1,47.95,22.57,-0.316
220,2020-02-13,1,44.55,26.7,-0.4
221,2020-02-13,4,42.17,16.42,0.483
222,2020-02-13,3,29.54,18.61,0.203
223,2020-02-13,3,39.39,21.4,0.486
224,2020-02-13,3,43.98,18.95,-0.552
225,2020-02-14,5,54.3,10.97,0.32
226,2020-02-14,5,48.75,16.84,-0.068
227,2020-02-14,1,43.8,31.88,-0.36
228,2020-02-14,1,27.18,32.15,-0.251
229,2020-02-14,4,34.3,21.59,-0.009
230,2020-02-14,2,37.07,24.48,0.08
231,2020-02-14,1,45.88,28.32,0.417
232,2020-02-15,1,45.27,26.35,-0.545
233,2020-02-15,5,52.32,10.46,0.21
234,2020-02-15,3,43.04,23.9,-0.304
235,2020-02-15,1,29.05,19.23,0.158
236,2020-02-15,4,45.69,14.96,-0.406
237,2020-02-16,3,39.31,15.13,-0.079
238,2020-02-16,3,48.76,23.84,-0.267
239,2020-02-16,1,61.7,25.34,-0.303
240,2020-02-16,2,45.06,21.12,-0.045
241,2020-02-17,4,19.39,15.32,0.327
242,2020-02-17,1,49.57,25.09,0.56
243,2020-02-18,5,46.57,10.91,0.169
244,2020-02-18,5,58.6,4.23,0.096
245,2020-02-18,5,50.44,12.28,0.084
246,2020-02-18,2,50.43,24.83,0.183
247,2020-02-18,3,40.77,23.02,-0.075
248,2020-02-18,1,39.42,29.38,-0.323
249,2020-02-18,1,59.56,29.63,0.173
250,2020-02-19,3,39.4,21.22,-0.218
251,2020-02-19,5,55.15,11.87,0.219
252,2020-02-19,1,40.53,30.78,0.066
253,2020-02-19,4,21.78,15.06,-0.34
254,2020-02-19,3,39.33,27.63,0.595
255,2020-02-19,3,43.27,19.91,0.428
256,2020-02-19,5,59.36,21.26,-0.187
257,2020-02-20,1,49.23,22.13,-0.179
258,2020-02-20,5,50.19,7.6,0.493
259,2020-02-20,2,40.84,24.6,-0.328
260,2020-02-20,3,43.8,18.25,0.296
261,2020-02-20,3,34.64,20.94,0.25
262,2020-02-20,3,33.27,14.55,0.063
263,2020-02-21,1,45.23,28.79,0.566
264,2020-02-21,1,46.17,30.02,-0.464
265,2020-02-21,4,33.67,12.17,-0.381
266,2020-02-21,1,47.03,28.87,-0.336
267,2020-02-21,4,41.72,12.4,0.029
268,2020-02-21,4,41.29,17.5,0.233
269,2020-02-21,5,49.65,13.85,-0.069
270,2020-02-22,4,39.2,18.9,-0.216
271,2020-02-22,3,38.2,22.79,0.601
272,2020-02-22,2,50.63,31.72,-0.914
273,2020-02-22,1,53.08,29.51,0.323
274,2020-02-23,3,35.13,18.03,0.268
275,2020-02-23,4,30.04,12.35,-0.174
276,2020-02-23,2,49.04,33.25,-0.246
277,2020-02-24,2,43.99,28.06,-0.137
278,2020-02-24,2,47.16,24.47,0.19
279,2020-02-24,4,25.13,21.96,-0.07
280,2020-02-24,5,43.98,11.86,0.028
281,2020-02-24,1,55.94,23.73,0.209
282,2020-02-24,5,63.88,12.17,0.052
283,2020-02-25,2,36.58,25.2,-0.191
284,2020-02-25,3,40.94,19.59,-0.069
285,2020-02-25,1,38.15,28.98,-0.25
286,2020-02-25,2,42.97,22.63,-0.004
287,2020-02-25,4,25.23,14.47,-0.18
288,2020-02-26,5,63.83,10.43,-0.309
289,2020-02-26,3,38.65,19.74,0.246
290,2020-02-26,2,39.56,24.42,-0.444
291,2020-02-26,1,35.1,27.56,0.302
292,2020-02-27,5,62.35,11.68,0.147
293,2020-02-27,3,39.16,15.68,0.454
294,2020-02-27,5,34.78,13.37,0.061
295,2020-02-27,2,46.84,21.87,-0.557
296,2020-02-27,1,48.32,27.56,-0.138
297,2020-02-27,5,72.25,11.22,-0.294
298,2020-02-28,5,42.22,16.5,0.228
299,2020-02-28,5,49.1,14.09,-0.082
300,2020-02-28,1,50.81,23.33,-0.002
301,2020-02-28,2,42.03,23.23,0.074
302,2020-02-28,4,33.89,14.14,-0.38
303,2020-02-29,1,39.77,33.66,-0.229
304,2020-02-29,3,40.86,16.88,-0.325
305,2020-02-29,1,38.67,27.37,0.088
306,2020-02-29,4,23.6,18.74,0.114
307,2020-02-29,5,34.83,12.03,-0.056
308,2020-02-29,1,50.22,23.43,0.027
309,2020-02-29,3,33.6,19.88,-0.045
310,2020-03-01,1,55.5,28.72,0.156
311,2020-03-01,4,30.89,15.64,0.219
312,2020-03-01,3,32.02,16.29,-0.493
313,2020-03-01,5,43.93,10.63,-0.328
314,2020-03-01,2,42.75,25.66,-0.201
315,2020-03-01,2,37.66,25.32,0.307
316,2020-03-01,5,56.69,8.99,-0.104
317,2020-03-01,5,29.18,12.44,0.317
318,2020-03-02,3,41.42,12.72,0.143
319,2020-03-02,5,52.29,13.9,-0.055
320,2020-03-02,2,40.39,25,0.239
321,2020-03-02,4,30.87,9.94,-0.227
322,2020-03-02,4,29.77,15.28,-0.137
323,2020-03-03,3,44.57,22.75,0.348
324,2020-03-03,5,65.25,18.46,-0.072
325,2020-03-03,2,46.02,28.39,-0.482
326,2020-03-03,1,51.04,30.8,0.356
327,2020-03-03,3,34.91,23.48,-0.035
328,2020-03-03,3,30.31,23.92,0.411
329,2020-03-03,2,26.51,23.71,-0.043
330,2020-03-04,4,33.58,18.37,0.045
331,2020-03-04,2,36.57,26.54,0.266
332,2020-03-04,4,43.69,14.67,0.252
333,2020-03-04,3,44.65,19.15,0.062
334,2020-03-05,4,49.48,15.2,-0.214
335,2020-03-05,1,41.85,23.3,-0.05
336,2020-03-05,5,57.57,17.74,-0.352
337,2020-03-05,5,47.36,17.13,-0.229
338,2020-03-06,3,42.01,19.29,0.322
339,2020-03-06,2,43.56,22.83,0.124
340,2020-03-06,2,41.58,28,-0.369
341,2020-03-06,4,8.22,15.09,-0.62
342,2020-03-06,2,41.43,28.61,-0.509
343,2020-03-06,1,48.62,26.66,-0.28
344,2020-03-08,5,30.2,11.85,-0.053
345,2020-03-09,3,21.28,18.31,-0.047
346,2020-03-09,1,38.05,27.64,-0.15
347,2020-03-09,4,43.48,19.75,-0.315
348,2020-03-09,1,44.84,24.86,-0.031
349,2020-03-09,5,53.5,12.92,-0.305
350,2020-03-10,1,54.35,24.8,0.156
351,2020-03-10,4,40.52,14.71,-0.028
352,2020-03-10,4,35.63,9.22,-0.063
353,2020-03-10,3,33.38,22.93,-0.565
354,2020-03-11,3,43.55,18.42,0.033
355,2020-03-11,3,35.17,27.09,-0.346
356,2020-03-11,5,51.17,14.46,0.385
357,2020-03-11,1,52.91,28.52,0.102
358,2020-03-11,3,25.81,20.95,-0.234
359,2020-03-11,3,37.35,16.66,0.037
360,2020-03-11,1,48.86,28.42,0.495
361,2020-03-12,2,26.29,24.22,0.126
362,2020-03-12,1,47.79,23.69,-0.458
363,2020-03-12,3,37.33,19.18,-0.1
364,2020-03-12,5,46.35,13.84,-0.01
365,2020-03-12,4,36.82,11.48,0.267
366,2020-03-12,1,44.46,26.2,-0.033
367,2020-03-12,2,36.06,19.67,-0.304
368,2020-03-12,2,46.91,24.41,-0.237
369,2020-03-13,2,35.48,27.45,0.173
370,2020-03-13,4,43.57,15.77,0.563
371,2020-03-13,3,33.64,24,-0.475
372,2020-03-13,5,27.71,10.36,-0.044
373,2020-03-13,1,42.1,23.18,0.039
374,2020-03-13,3,35.6,16.49,-0.245
375,2020-03-13,1,45.56,27.3,-0.029
376,2020-03-13,4,49.19,16.74,-0.212
377,2020-03-13,1,43.13,31.56,-0.228
378,2020-03-13,4,45.45,21.49,-0.355
379,2020-03-14,1,38.01,24.14,-0.239
380,2020-03-14,3,36.61,16.55,-0.245
381,2020-03-14,2,37.47,24.92,0.242
382,2020-03-14,2,34.36,24.04,0.437
383,2020-03-14,1,49.24,32.84,-0.387
384,2020-03-14,3,41.25,20.73,0.088
385,2020-03-14,5,63.73,9.39,0.215
386,2020-03-14,1,44.33,28,0.342
387,2020-03-14,5,49.16,11.39,-0.259
388,2020-03-14,1,22.72,29.96,-0.369
389,2020-03-15,2,35.9,21.08,0.476
390,2020-03-15,5,49.27,10.11,-0.162
391,2020-03-15,1,46.3,21.98,-0.207
392,2020-03-15,3,44.86,22.02,0.129
393,2020-03-15,3,40.77,21.17,0.079
394,2020-03-16,4,33.64,10.94,-0.073
395,2020-03-16,4,20.75,14.03,-0.664
396,2020-03-16,3,54.01,14.68,0.057
397,2020-03-16,3,49.17,21.8,0.22
398,2020-03-17,5,49.66,12.58,-0.206
399,2020-03-17,1,38.1,28.65,0.083
400,2020-03-17,4,17.08,22.31,0.071
401,2020-03-18,2,45.75,27.7,-0.033
402,2020-03-18,1,52.62,30.27,0.17
403,2020-03-18,1,35.24,21.28,-0.48
404,2020-03-18,3,40.23,18.2,0.212
405,2020-03-18,1,39.03,30.68,-0.578
406,2020-03-18,1,36.14,27.4,0.052
407,2020-03-18,1,56.66,21.05,-0.807
408,2020-03-18,4,32.26,14.09,0.308
409,2020-03-18,4,43.68,15.7,0.085
410,2020-03-18,5,46.02,12.61,-0.387
411,2020-03-19,2,43.94,25.62,-0.606
412,2020-03-19,2,26.91,22.41,-0.049
413,2020-03-19,1,48.54,24.88,0.45
414,2020-03-19,1,57.4,32.86,-0.179
415,2020-03-20,2,37.85,22.97,-0.456
416,2020-03-20,5,64.3,11.66,-0.246
417,2020-03-20,3,29.09,20.44,0.136
418,2020-03-20,3,42.58,18.67,-0.306
419,2020-03-20,1,32.63,26.76,0.073
420,2020-03-20,2,38.67,26.31,0.2
421,2020-03-20,4,29.94,25.04,-0.23
422,2020-03-21,5,48.75,12.13,-0.4
423,2020-03-21,2,36.7,22.69,-0.072
424,2020-03-21,2,52.69,24.83,-0.385
425,2020-03-21,4,38.89,18.21,-0.208
426,2020-03-21,3,34.2,15.64,-0.186
427,2020-03-21,3,49.89,23.4,0.133
428,2020-03-21,2,48.26,25.1,0.065
429,2020-03-21,2,39.39,17.9,-0.523
430,2020-03-22,5,35.41,20.33,0.206
431,2020-03-22,3,40.47,24.09,-0.318
432,2020-03-22,3,44.65,9.95,0.155
433,2020-03-22,5,48.29,5.57,0.079
434,2020-03-22,1,57.95,24.87,-0.064
435,2020-03-22,5,46.46,9.87,0.141
436,2020-03-22,5,46.23,14.61,-0.362
437,2020-03-22,2,38.74,24.12,0.056
438,2020-03-22,5,35.32,5.57,0.276
439,2020-03-23,4,36.42,11.78,-0.242
440,2020-03-23,4,28.32,13.8,-0.161
441,2020-03-23,4,27.37,14.03,-0.865
442,2020-03-23,5,31.22,12.55,0.052
443,2020-03-23,3,45.36,26.3,0.434
444,2020-03-23,4,28.25,17.14,-0.052
445,2020-03-23,1,45.41,24.32,-0.153
446,2020-03-23,1,49.27,29.14,-0.339
447,2020-03-24,4,49.67,12.51,-0.482
448,2020-03-24,1,40.09,25.4,-0.567
449,2020-03-24,3,46.62,22,-0.407
450,2020-03-24,1,47.23,31.25,0.083
451,2020-03-24,2,42.37,25.03,-0.27
452,2020-03-24,5,50.1,21.3,0.036
453,2020-03-24,5,55.89,14.65,0.042
454,2020-03-25,4,29.04,21.47,0.22
455,2020-03-25,3,35.22,21.33,0.625
456,2020-03-25,5,21.58,11.15,0.001
457,2020-03-25,4,25.4,13,-0.015
458,2020-03-26,4,34.09,14.51,-0.168
459,2020-03-26,2,50.41,22.46,-0.249
460,2020-03-26,2,41.43,18.55,-0.475
461,2020-03-26,3,42.14,23.56,0.365
462,2020-03-26,1,41.34,22.83,0.264
463,2020-03-26,5,75.82,9.64,-0.098
464,2020-03-26,2,49.28,20.3,-0.048
465,2020-03-27,4,24.33,13.91,-0.056
466,2020-03-27,4,36.23,17.07,0.037
467,2020-03-27,5,50.55,8.45,-0.111
468,2020-03-27,4,30.5,15.61,-0.013
469,2020-03-27,5,45.65,12.29,-0.064
470,2020-03-27,2,22.64,29.07,0.145
471,2020-03-28,1,52.36,26.94,0.058
472,2020-03-28,1,42.66,28.13,-0.162
473,2020-03-28,5,27.75,6.05,-0.326
474,2020-03-28,1,48.04,21.86,0.529
475,2020-03-28,5,54.43,11.86,0.409
476,2020-03-28,1,41.39,29.14,-0.162
477,2020-03-28,4,30.48,14.79,-0.233
478,2020-03-29,3,30.48,19.15,0.341
479,2020-03-29,5,44.99,17.55,-0.094
480,2020-03-29,3,25.02,23.75,0.392
481,2020-03-29,5,49.36,12.08,-0.015
482,2020-03-29,3,38.41,21.57,-0.356
483,2020-03-29,3,45.26,23.69,0.24
484,2020-03-29,2,42.02,20.67,-0.01
485,2020-03-29,5,52.77,9.71,0.422
486,2020-03-29,3,28.34,19.25,-0.143
487,2020-03-29,2,35.94,27.73,-0.117
488,2020-03-30,3,26.04,22.32,0.389
489,2020-03-30,5,57.67,4.63,-0.05
490,2020-03-30,2,42.11,22.03,0.103
491,2020-03-30,2,56.12,21.99,-0.103
492,2020-03-30,2,32.29,24.67,-0.1
493,2020-03-31,5,51.54,13.96,-0.134
494,2020-03-31,4,28.54,13.79,-0.019
495,2020-03-31,2,44.38,26.51,0.157
496,2020-03-31,1,48.77,37.34,-0.286
497,2020-03-31,3,27.22,19.92,-1
498,2020-04-01,4,29.36,16.61,0.085
499,2020-04-01,5,52.55,9.88,-0.353
500,2020-04-01,2,52.91,18.28,0.586
501,2020-04-01,5,33.5,11.72,-0.193
502,2020-04-01,3,43.23,18.93,0.051
503,2020-04-01,4,45.29,14.64,-0.598
504,2020-04-02,4,40.28,16.38,-0.292
505,2020-04-02,4,26.19,14.75,-0.182
506,2020-04-02,1,36.53,26.34,0.377
507,2020-04-02,3,37.03,18.79,-0.147
508,2020-04-03,2,40.64,26.24,-0.033
509,2020-04-03,2,47.26,27.53,0.155
510,2020-04-03,3,47.33,20.76,0.352
511,2020-04-03,1,39.61,28.69,0.072
512,2020-04-03,3,24.71,18.71,-0.245
513,2020-04-03,3,43.02,14.98,-0.142
514,2020-04-03,3,43.53,24.33,-0.164
515,2020-04-04,2,40.72,25.43,-0.113
516,2020-04-04,5,47.42,8.02,-0.041
517,2020-04-04,1,45.92,30.75,-0.027
518,2020-04-04,2,36.68,21.09,-0.315
519,2020-04-04,4,24.11,16.76,-0.675
520,2020-04-05,1,33.54,29.28,0.287
521,2020-04-05,3,39.69,17.67,-0.333
522,2020-04-05,5,40.28,13.73,0.638
523,2020-04-05,5,59.01,8.02,0.267
524,2020-04-05,3,42.49,21.47,0.272
525,2020-04-06,5,49.1,8.19,-0.184
526,2020-04-06,2,44.8,27.12,0.087
527,2020-04-06,1,54.73,28.08,-0.052
528,2020-04-06,3,31.95,22.29,-0.07
529,2020-04-07,3,40.09,16.42,0.075
530,2020-04-07,3,35,19.93,0.511
531,2020-04-07,5,38.45,8.1,-0.34
532,2020-04-07,1,45.71,27.83,0.031
533,2020-04-08,2,36.14,20.53,-0.002
534,2020-04-08,2,47,23.27,0.027
535,2020-04-08,4,28.88,13.56,0.341
536,2020-04-08,1,48.36,27.36,-0.248
537,2020-04-08,5,72.17,10.3,-0.164
538,2020-04-09,3,38.84,17.96,0.018
539,2020-04-09,4,30.73,7.17,0.121
540,2020-04-09,1,47.28,26.84,0.084
541,2020-04-10,2,53.34,24.17,-0.332
542,2020-04-10,2,32.88,17.19,0.048
543,2020-04-10,3,39.35,15.71,-0.198
544,2020-04-11,3,33.13,21.21,-0.198
545,2020-04-11,3,36.78,20.01,0.141
546,2020-04-12,3,30.95,22.21,-0.242
547,2020-04-12,1,46.05,23.69,0.291
548,2020-04-13,3,39.88,14.83,0.004
549,2020-04-13,5,66.26,11.74,-0.134
550,2020-04-13,5,69.12,11.21,0.145
551,2020-04-13,1,47.01,26.01,-0.005
552,2020-04-13,2,33.56,23.93,0.081
553,2020-04-14,2,40.37,23.73,-0.178
554,2020-04-14,2,33.73,22.55,0.229
555,2020-04-14,5,46.67,15.19,-0.111
556,2020-04-14,1,35.77,29.92,0.162
557,2020-04-14,1,41.04,30.65,-0.748
558,2020-04-14,1,47.05,26.56,-0.421
559,2020-04-15,5,44.61,11.66,0.363
560,2020-04-15,5,59.32,9.07,-0.059
561,2020-04-15,1,42.14,30.09,0.267
562,2020-04-15,5,29.97,11.02,-0.089
563,2020-04-15,2,51.58,23.94,-0.078
564,2020-04-15,5,57.56,14.79,-0.066
565,2020-04-15,4,30.46,22.24,-0.491
566,2020-04-15,1,56.12,28.52,0.253
567,2020-04-15,4,27.71,15.27,-0.498
568,2020-04-15,5,51.75,13.26,-0.493
569,2020-04-15,2,35.39,21.45,0.031
570,2020-04-15,3,25.27,14.49,-0.037
571,2020-04-16,5,58.1,13.16,-0.468
572,2020-04-16,3,36.11,21.56,0.054
573,2020-04-16,3,36.47,19.77,-0.065
574,2020-04-16,3,30.49,14.81,0.288
575,2020-04-16,2,46.98,26.24,-0.303
576,2020-04-16,3,24.26,21.73,0.153
577,2020-04-16,3,37.84,14.33,0.03
578,2020-04-16,3,36.67,21.84,-0.194
579,2020-04-17,3,39.21,16.23,-0.408
580,2020-04-17,1,36.7,30.7,-0.158
581,2020-04-17,5,50.47,18.8,0.181
582,2020-04-17,3,32.4,12.4,-0.063
583,2020-04-17,5,63.95,7.79,-0.119
584,2020-04-18,2,43.79,21.8,-0.038
585,2020-04-18,4,23.07,14.72,0.051
586,2020-04-18,5,62.1,9.5,-0.159
587,2020-04-18,2,52.84,17.53,0.117
588,2020-04-18,4,20.35,20.48,-0.192
589,2020-04-18,1,31.16,25.74,-0.188
590,2020-04-18,1,43.7,29.3,-0.322
591,2020-04-19,5,56.71,9.12,0.031
592,2020-04-19,3,30.32,17.21,0.142
