id,observation_date,temperature,precipitation_level,humidity,weather_condition_code
77,2020-01-16,5.7,3.3,72.6,Windy
78,2020-01-16,12.3,0,68.5,Cloudy
79,2020-01-16,1.2,0.3,79.1,Stormy
80,2020-01-16,-1,5.2,94.1,Foggy
81,2020-01-16,2.3,1.4,72.9,Cloudy
82,2020-01-16,10,6.5,79.8,Cloudy
83,2020-01-17,3.4,3.3,66.3,Windy
84,2020-01-17,-1.5,0.6,70.9,Snowy
85,2020-01-17,14.1,2.5,58.1,Snowy
86,2020-01-17,0.4,4.3,82,Snowy
87,2020-01-17,7.9,7.1,70.2,Snowy
88,2020-01-17,7.4,7.5,84.9,Rainy
89,2020-01-17,3.3,9,77.1,Cloudy
90,2020-01-18,-3.9,0,63.4,Sunny
91,2020-01-18,14.2,4.2,75.1,Sunny
92,2020-01-18,-1.4,3.5,61.2,Windy
93,2020-01-19,2.1,0,58.7,Snowy
94,2020-01-19,-0.1,7.4,65.6,Cloudy
95,2020-01-19,-3.5,0.4,72.9,Foggy
96,2020-01-19,-7.6,7.1,81.4,Snowy
97,2020-01-19,-0.7,2.2,84.9,Snowy
98,2020-01-19,-13.8,6.5,54.3,Sunny
99,2020-01-19,-3.7,0,87,Cloudy
100,2020-01-19,-7,8.9,65.4,Cloudy
101,2020-01-19,-4,4.6,63.8,Snowy
102,2020-01-20,5.7,3.2,81.1,Cloudy
103,2020-01-20,15.3,1.6,85.8,Foggy
104,2020-01-21,-0.1,9.1,71.8,Cloudy
105,2020-01-21,3.8,2.6,87.4,Sunny
106,2020-01-21,2.7,2.3,69.6,Stormy
107,2020-01-21,-1.1,1.5,83.8,Rainy
108,2020-01-21,2.9,4.7,76.9,Foggy
109,2020-01-22,-10.7,10.1,63.8,Cloudy
110,2020-01-22,2.7,2.3,85,Stormy
111,2020-01-22,5.3,10.1,72.9,Rainy
112,2020-01-22,-0.9,5.1,87.5,Windy
113,2020-01-22,-2.4,3.5,67.6,Cloudy
114,2020-01-22,7.3,4,77.7,Windy
115,2020-01-22,17.1,3,91.8,Rainy
116,2020-01-23,-12.7,4.6,80.3,Sunny
117,2020-01-23,-1.2,4.6,57.8,Snowy
118,2020-01-23,-1.6,6.8,79.5,Foggy
119,2020-01-23,-2.2,1.4,78.8,Foggy
120,2020-01-24,4.1,1.2,79.6,Sunny
121,2020-01-24,2.3,3.2,78.6,Stormy
122,2020-01-24,0.6,5,80.1,Rainy
123,2020-01-24,-1.1,1.9,62.2,Cloudy
124,2020-01-24,-10.6,1.7,80.4,Snowy
125,2020-01-25,-5.3,7.5,82.1,Snowy
126,2020-01-25,-1.6,7.5,80.9,Cloudy
127,2020-01-25,4.8,1.6,79.3,Windy
128,2020-01-25,5.3,5.5,83.7,Rainy
129,2020-01-25,8.8,5.1,88,Foggy
130,2020-01-25,2,2.5,62.3,Cloudy
131,2020-01-26,13.8,0,89.3,Sunny
132,2020-01-26,3.4,6.7,100,Stormy
133,2020-01-26,3,2.9,54,Rainy
134,2020-01-27,7.4,4.5,71.3,Cloudy
135,2020-01-27,-1.6,2.7,71.1,Stormy
136,2020-01-27,-6.2,1.6,74.4,Sunny
137,2020-01-27,2.7,2.1,62.1,Rainy
138,2020-01-27,-4.1,5,64.2,Snowy
139,2020-01-27,-11.6,0,83.6,Rainy
140,2020-01-28,-3.9,0,62.8,Cloudy
141,2020-01-28,7.9,7.7,76.8,Foggy
142,2020-01-28,-6.2,5.8,64.5,Sunny
143,2020-01-28,11.3,0,75.7,Cloudy
144,2020-01-28,7.6,6.4,82.2,Foggy
145,2020-01-28,-0.5,8.3,62.8,Snowy
146,2020-01-29,-0.3,0,61.4,Rainy
147,2020-01-29,10.7,3.4,82.7,Snowy
148,2020-01-29,4.1,6.7,73.3,Foggy
149,2020-01-29,-13,3.4,73.2,Cloudy
150,2020-01-29,-9.1,0.9,74.5,Cloudy
151,2020-01-29,0.4,3.6,86,Windy
152,2020-01-29,5.7,2.9,82.8,Snowy
153,2020-01-29,4.2,10.3,63.9,Windy
154,2020-01-29,2.9,3.6,80.7,Cloudy
155,2020-01-29,-0.1,8.6,70.1,Cloudy
156,2020-01-29,16.5,5.5,86.4,Sunny
157,2020-01-30,-4.9,5.6,74.3,Sunny
158,2020-01-30,-3,4.8,72.6,Windy
159,2020-01-30,1.4,7.3,98.1,Foggy
160,2020-01-30,3,5.5,98.3,Cloudy
161,2020-01-31,10.8,5.6,80.6,Cloudy
162,2020-01-31,4.1,3.6,70.8,Cloudy
163,2020-01-31,-7.6,5.2,84.5,Windy
164,2020-02-01,-4.7,8.1,63.2,Sunny
165,2020-02-01,5.2,5.3,76.7,Cloudy
166,2020-02-01,3.3,3.9,60.6,Foggy
167,2020-02-01,-0.8,5.1,75.4,Cloudy
168,2020-02-01,-0.9,6.3,61.5,Cloudy
169,2020-02-01,-2.8,5,81.7,Rainy
170,2020-02-01,-11.1,0,77.7,Cloudy
171,2020-02-02,-0.8,7.4,83.9,Snowy
172,2020-02-02,3.7,1.5,73.8,Rainy
173,2020-02-03,5.5,6.6,73.6,Cloudy
174,2020-02-03,6.1,0,77.7,Stormy
175,2020-02-03,-5.6,7.5,61.2,Cloudy
176,2020-02-03,0.1,5,80.7,Rainy
177,2020-02-03,1.6,0.4,74,Rainy
178,2020-02-04,7.6,0.9,76.5,Cloudy
179,2020-02-04,-4.6,7.7,77.1,Cloudy
180,2020-02-04,-1.7,7.3,73.4,Windy
181,2020-02-04,6.7,2.9,67.4,Foggy
182,2020-02-04,-0.2,2.7,80.2,Snowy
183,2020-02-04,1.8,7.2,81.7,Snowy
184,2020-02-05,-1.3,4.5,69,Snowy
185,2020-02-05,0.9,0,60.3,Rainy
186,2020-02-05,5.4,7.8,65.6,Sunny
187,2020-02-05,0.1,0.9,68.9,Foggy
188,2020-02-06,-0.8,5.3,71.1,Cloudy
189,2020-02-06,-3.7,6.1,58.6,Cloudy
190,2020-02-06,-2.4,5.6,69.2,Rainy
191,2020-02-06,2.6,1.7,63.5,Sunny
192,2020-02-06,12.7,6.4,82.4,Snowy
193,2020-02-06,3.2,2.4,77.6,Sunny
194,2020-02-07,12,5.7,70.9,Foggy
195,2020-02-07,2.8,8.5,80.4,Stormy
196,2020-02-07,-2.9,2.1,87.7,Cloudy
197,2020-02-08,-4.2,2.2,84.7,Windy
198,2020-02-08,-3.7,9.6,71.3,Foggy
199,2020-02-08,1,2,77.4,Cloudy
200,2020-02-08,-4.7,6.6,71,Foggy
201,2020-02-08,0.6,4.2,86.7,Cloudy
202,2020-02-08,-8.3,3.7,73,Windy
203,2020-02-08,-2.9,6.6,68,Foggy
204,2020-02-08,-0.5,8.7,69.3,Rainy
205,2020-02-09,8.6,3.7,70.2,Snowy
206,2020-02-09,0.7,7.9,70.6,Foggy
207,2020-02-09,7.4,2.9,72.3,Snowy
208,2020-02-09,-0.9,7.2,90.1,Cloudy
209,2020-02-09,5.6,11.4,58.5,Foggy
210,2020-02-09,3.3,4.3,77.6,Rainy
211,2020-02-10,-7.9,4.9,65,Windy
212,2020-02-10,4.7,1.3,79.5,Sunny
213,2020-02-10,-1.2,4.6,76.7,Sunny
214,2020-02-10,5,2.8,64.4,Cloudy
215,2020-02-10,5.4,12.8,79.1,Snowy
216,2020-02-11,-2.5,3.7,72.3,Cloudy
217,2020-02-11,4.9,5.5,66.9,Rainy
218,2020-02-11,14.1,0,71.9,Foggy
219,2020-02-11,-3.9,3.9,85.3,Snowy
220,2020-02-11,9.1,5.8,59.5,Snowy
221,2020-02-12,5.6,6.2,83.1,Foggy
222,2020-02-12,-4.7,6.1,79.4,Foggy
223,2020-02-12,8.3,0.3,63.7,Windy
224,2020-02-12,7.6,1.4,94.3,Windy
225,2020-02-12,2.1,4.7,70.8,Cloudy
226,2020-02-12,-3.6,3.3,70.7,Foggy
227,2020-02-13,-2,1.5,91.1,Snowy
228,2020-02-13,1,6.4,68.1,Windy
229,2020-02-13,-3.1,4.4,67.4,Snowy
230,2020-02-13,1.1,4.7,75.3,Sunny
231,2020-02-14,3,3.8,78.9,Stormy
232,2020-02-14,7.8,2.7,77.9,Stormy
233,2020-02-14,-0.7,3.6,78,Cloudy
234,2020-02-15,1,3,65.7,Stormy
235,2020-02-15,-4.9,6.6,94.7,Sunny
236,2020-02-15,7,1.4,69.5,Snowy
237,2020-02-15,0.7,0.5,95.2,Foggy
238,2020-02-15,0.3,3.6,57,Rainy
239,2020-02-15,8.6,3.5,79.9,Stormy
240,2020-02-15,-5.2,3.5,65.2,Snowy
241,2020-02-15,3.7,2.1,77.6,Rainy
242,2020-02-15,-5.2,8.5,84.6,Stormy
243,2020-02-16,4.2,5.1,67.5,Rainy
244,2020-02-16,5.8,3,77.3,Sunny
245,2020-02-17,-0.8,7.2,64.5,Snowy
246,2020-02-17,-0.6,2.7,80.7,Snowy
247,2020-02-17,3.7,6,64.3,Snowy
248,2020-02-17,6.3,0.8,65.4,Cloudy
249,2020-02-17,11.5,5.3,86.4,Snowy
250,2020-02-17,5.1,2.6,67.6,Foggy
251,2020-02-17,3.9,2.7,69.4,Sunny
252,2020-02-18,13.1,3.6,84,Windy
253,2020-02-18,-10.7,0,64.4,Rainy
254,2020-02-18,0.1,13.1,62.1,Cloudy
255,2020-02-19,-2.3,6.3,71.8,Snowy
256,2020-02-19,-2.8,1.1,84.3,Snowy
257,2020-02-19,5.1,7.9,70.2,Sunny
258,2020-02-19,-3,0.2,84.7,Snowy
259,2020-02-19,7.3,7.5,91.7,Rainy
260,2020-02-19,0.7,6.8,84.4,Foggy
261,2020-02-19,1.2,5,66.7,Snowy
262,2020-02-19,12,1.3,84,Foggy
263,2020-02-19,-2.1,5.9,78.5,Rainy
264,2020-02-19,2.9,6.4,79.7,Snowy
265,2020-02-19,7.9,1.3,92.9,Sunny
266,2020-02-20,-10.7,3.8,51.2,Rainy
267,2020-02-20,-3.7,4.8,75.3,Snowy
268,2020-02-20,-0.7,7.4,76.3,Cloudy
269,2020-02-20,1.3,0.2,93.7,Cloudy
270,2020-02-20,2,3.8,80.5,Stormy
271,2020-02-21,-3.3,5.6,91,Rainy
272,2020-02-21,3.4,6.7,83.3,Foggy
273,2020-02-21,13.9,8,89.5,Sunny
274,2020-02-21,-2.5,1.9,87.9,Foggy
275,2020-02-21,-0.8,2.7,78.3,Rainy
276,2020-02-21,6.1,1.2,71,Stormy
277,2020-02-22,9.7,4.2,86.8,Rainy
278,2020-02-22,8.4,0,73.4,Rainy
279,2020-02-22,8.4,2.2,75.8,Cloudy
280,2020-02-22,6.3,3,95.7,Foggy
281,2020-02-22,-9.4,6.7,94,Foggy
282,2020-02-22,-3.7,5.9,82,Snowy
283,2020-02-22,-12.2,7.6,77.9,Rainy
284,2020-02-22,-3.8,3.5,74.3,Stormy
285,2020-02-22,-5.1,4.3,62.1,Windy
286,2020-02-23,-6.5,2.2,69,Windy
287,2020-02-23,8.4,0.7,77.8,Rainy
288,2020-02-23,4.2,7.9,73.8,Rainy
289,2020-02-23,-9.4,3.8,58.6,Snowy
290,2020-02-23,3.8,4.8,90.9,Snowy
291,2020-02-23,-4.3,0,76.5,Snowy
292,2020-02-23,0.9,0,77.6,Foggy
293,2020-02-24,-3.1,3.3,85.6,Windy
294,2020-02-24,4.6,1.8,66.6,Foggy
295,2020-02-24,3.7,3.6,67.1,Foggy
296,2020-02-24,5.7,5.8,59.4,Sunny
297,2020-02-24,3.3,2,78.1,Cloudy
298,2020-02-24,-1,0.2,89.5,Foggy
299,2020-02-24,0.5,1.3,83.4,Snowy
300,2020-02-25,3,4.4,66.9,Rainy
301,2020-02-25,-0.3,2.6,79.4,Snowy
302,2020-02-25,3.6,2.1,80.7,Snowy
303,2020-02-25,11.6,6.6,83.3,Snowy
304,2020-02-25,-3.2,0,79.2,Cloudy
305,2020-02-25,1.6,0.5,82.1,Snowy
306,2020-02-25,9.6,3.4,83.3,Rainy
307,2020-02-26,6.7,0.1,68.8,Snowy
308,2020-02-26,-0.7,4,82.6,Snowy
309,2020-02-26,6.5,2.9,70.2,Foggy
310,2020-02-26,1.8,9.8,85.6,Snowy
311,2020-02-26,-7.1,4.4,65.3,Cloudy
312,2020-02-26,1,4.6,77,Foggy
313,2020-02-27,-5.3,2.3,59.7,Snowy
314,2020-02-28,-1.7,7.4,52.5,Stormy
315,2020-02-28,-6.2,5.8,66.5,Windy
316,2020-02-28,-2.8,5.4,88.1,Snowy
317,2020-02-28,-2.2,0,74.6,Rainy
318,2020-02-28,14.3,9.1,58.1,Rainy
319,2020-02-28,-0.3,3.1,81.4,Cloudy
320,2020-02-29,4.2,2.2,69.6,Stormy
321,2020-02-29,13.4,0,75.4,Snowy
322,2020-02-29,6.9,0,76.9,Sunny
323,2020-03-01,24.3,7.2,68.9,Windy
324,2020-03-01,17,9.8,73.4,Rainy
325,2020-03-01,15.3,1.8,63.3,Sunny
326,2020-03-01,14.8,4.8,52.5,Cloudy
327,2020-03-02,13.6,5.4,77,Foggy
328,2020-03-02,8.3,2.2,74,Rainy
329,2020-03-02,20.3,7.6,50.1,Foggy
330,2020-03-02,18.1,3.6,59.1,Rainy
331,2020-03-02,6.1,1.4,65.8,Cloudy
332,2020-03-02,12.5,9.3,54.5,Rainy
333,2020-03-03,18.7,9,66.3,Foggy
334,2020-03-03,25.2,0,78.4,Rainy
335,2020-03-03,13.7,7.1,51.9,Cloudy
336,2020-03-03,11.9,6.4,60.8,Cloudy
337,2020-03-03,19,1.4,57.2,Windy
338,2020-03-04,13,1,55.7,Sunny
339,2020-03-04,14.2,1.5,50.6,Sunny
340,2020-03-04,10.6,4.2,83.3,Cloudy
341,2020-03-04,19,6.7,60.9,Rainy
342,2020-03-04,9,3.1,48,Cloudy
343,2020-03-04,9.7,16,51,Rainy
344,2020-03-04,26.3,7.2,43.8,Stormy
345,2020-03-04,12.2,3,56.2,Cloudy
346,2020-03-05,4.9,1.6,56.3,Sunny
347,2020-03-05,8.4,0,70.4,Rainy
348,2020-03-05,8.3,2.4,45.3,Windy
349,2020-03-05,12.9,5.2,66.8,Rainy
350,2020-03-05,20.5,0,71.9,Sunny
351,2020-03-06,8.8,5.7,41.8,Cloudy
352,2020-03-06,11.7,1.5,69.5,Cloudy
353,2020-03-06,15.1,0,70.6,Foggy
354,2020-03-06,7.9,2.1,51.3,Windy
355,2020-03-06,7.1,1.5,61.9,Rainy
356,2020-03-06,19.7,8.7,79.4,Rainy
357,2020-03-07,16.8,2.9,68.8,Rainy
358,2020-03-07,14.3,8.8,57.7,Sunny
359,2020-03-07,12.1,8.6,51.8,Sunny
360,2020-03-07,19.7,8.3,56.5,Rainy
361,2020-03-07,13.9,7.4,82.6,Rainy
362,2020-03-07,14.9,4.4,68.3,Cloudy
363,2020-03-08,18.2,3.6,56.7,Sunny
364,2020-03-08,10.7,9.8,65.3,Sunny
365,2020-03-08,6.9,4.9,65.3,Rainy
366,2020-03-08,18.4,1.1,61.6,Cloudy
367,2020-03-08,11,14.6,60.2,Stormy
368,2020-03-08,13.3,4.5,61.6,Stormy
369,2020-03-09,18.2,8.9,52.4,Sunny
370,2020-03-09,17.9,9.7,57.9,Stormy
371,2020-03-09,16.8,0.3,69.8,Rainy
372,2020-03-09,7.9,9.7,69.2,Cloudy
373,2020-03-09,25,13.6,50.9,Sunny
374,2020-03-10,7.1,8.7,65.2,Foggy
375,2020-03-10,13.4,8.2,64.2,Stormy
376,2020-03-10,16.9,9.8,60.6,Sunny
377,2020-03-10,12.3,10.7,67.1,Stormy
378,2020-03-10,17.8,6.3,73.3,Sunny
379,2020-03-10,12,13.5,51.3,Cloudy
380,2020-03-11,9.4,9.9,69.9,Cloudy
381,2020-03-11,7.8,1.8,53.3,Sunny
382,2020-03-11,16.3,1.9,76.6,Sunny
383,2020-03-11,11.4,6.6,65.1,Rainy
384,2020-03-11,10.3,7.1,56.1,Stormy
385,2020-03-11,17.4,5.3,38.7,Rainy
386,2020-03-12,8.7,6.4,63.4,Rainy
387,2020-03-12,12.5,5.4,47.2,Windy
388,2020-03-13,21,11.4,86.3,Sunny
389,2020-03-13,15.1,10.2,85.2,Cloudy
390,2020-03-13,15.2,4.2,51.4,Foggy
391,2020-03-13,13.4,9.4,73.8,Foggy
392,2020-03-13,20.1,3.5,54.4,Rainy
393,2020-03-13,10.1,7,56.5,Windy
394,2020-03-13,13.9,14.3,51.8,Rainy
395,2020-03-13,17.9,10.8,71.2,Rainy
396,2020-03-13,16.7,0.3,74.1,Cloudy
397,2020-03-14,10.9,10.6,66.6,Windy
398,2020-03-14,14.3,15.2,74.3,Stormy
399,2020-03-14,14.5,5.1,69.5,Sunny
400,2020-03-14,17.4,8,81.7,Windy
401,2020-03-14,8.5,14.5,88.4,Stormy
402,2020-03-14,16.5,6.7,73.2,Cloudy
403,2020-03-14,21.2,3.1,52.3,Foggy
404,2020-03-14,15,4.9,75,Cloudy
405,2020-03-15,21.7,0,60.5,Sunny
406,2020-03-15,8.8,7.5,41.2,Rainy
407,2020-03-15,18.8,12.2,41.4,Sunny
408,2020-03-15,17.7,14.9,57.1,Foggy
409,2020-03-15,12.6,1.7,69.3,Sunny
410,2020-03-15,31.8,5.2,65.8,Cloudy
411,2020-03-15,18.4,3.2,54,Stormy
412,2020-03-15,17.3,8.2,61.2,Rainy
413,2020-03-16,22.3,7.8,55.5,Rainy
414,2020-03-16,15.8,10.8,70.2,Rainy
415,2020-03-16,7.7,6.5,47.2,Rainy
416,2020-03-16,16.9,6.8,65.3,Sunny
417,2020-03-16,20.8,6.2,60.9,Windy
418,2020-03-16,15.5,13.6,86.8,Sunny
419,2020-03-16,16.1,10.4,50.2,Foggy
420,2020-03-16,6.8,6.7,62.3,Cloudy
421,2020-03-16,15.3,3.5,57.3,Windy
422,2020-03-17,22.3,10.5,65.7,Sunny
423,2020-03-17,24.3,8.6,79.5,Sunny
424,2020-03-17,20.9,4.3,58.6,Rainy
425,2020-03-18,14.5,9,75.3,Rainy
426,2020-03-18,6.8,11.7,72.7,Sunny
427,2020-03-19,21.8,0.4,73,Cloudy
428,2020-03-19,18.8,8.3,70.8,Foggy
429,2020-03-19,15.5,5.7,54.6,Sunny
430,2020-03-19,19.9,0,76.7,Snowy
431,2020-03-19,12.6,4.2,51.1,Foggy
432,2020-03-19,20.7,8.7,51.3,Sunny
433,2020-03-19,12.1,8.8,78.6,Cloudy
434,2020-03-19,18.3,0,71.5,Sunny
435,2020-03-20,15.6,7.4,56.5,Rainy
436,2020-03-20,7.6,1.4,46.7,Windy
437,2020-03-20,15.8,5.7,65,Rainy
438,2020-03-20,12.3,2.7,45.5,Stormy
439,2020-03-20,15.3,3.4,55.3,Windy
440,2020-03-20,14.8,6.8,77.8,Windy
441,2020-03-20,11.1,8.7,66.6,Snowy
442,2020-03-21,11.1,6,55.5,Rainy
443,2020-03-21,15.5,5.7,65.7,Rainy
444,2020-03-21,21.7,3.4,61.3,Windy
445,2020-03-21,19.7,3.7,76.2,Cloudy
446,2020-03-21,15.7,7.2,67.3,Rainy
447,2020-03-21,17,7.6,63.9,Cloudy
448,2020-03-22,14,10.4,42.7,Rainy
449,2020-03-22,19.4,0,64.8,Foggy
450,2020-03-22,13.5,3.5,63.8,Rainy
451,2020-03-22,19.3,4.5,57.7,Cloudy
452,2020-03-22,11.1,5.4,59.1,Sunny
453,2020-03-22,26.4,5.7,67.3,Sunny
454,2020-03-22,11.6,12.8,69.4,Cloudy
455,2020-03-23,16.7,1.3,86.9,Sunny
456,2020-03-23,12.9,3.2,40.3,Rainy
457,2020-03-23,9.6,0.3,37.8,Cloudy
458,2020-03-23,14,11.4,74.3,Foggy
459,2020-03-23,15.2,7.9,73.2,Stormy
460,2020-03-23,17.9,3.3,69.4,Cloudy
461,2020-03-23,13.2,6.9,61.4,Rainy
462,2020-03-24,19,8.1,71,Cloudy
463,2020-03-24,15.2,4.4,89.1,Stormy
464,2020-03-24,11,11.9,73.4,Rainy
465,2020-03-24,16.1,2.2,52.4,Sunny
466,2020-03-24,8.7,6,67.5,Cloudy
467,2020-03-25,16.3,0.7,67.8,Sunny
468,2020-03-25,20.8,0.1,72.1,Foggy
469,2020-03-25,11.3,3,53.5,Sunny
470,2020-03-25,11.9,13.1,48.9,Rainy
471,2020-03-25,21.3,11.2,75.7,Sunny
472,2020-03-25,13.1,8.8,65.8,Snowy
473,2020-03-26,16.2,11,69,Windy
474,2020-03-26,12.7,4.5,46.6,Stormy
475,2020-03-27,13.8,1.3,67.8,Cloudy
476,2020-03-27,17.1,3.1,64,Sunny
477,2020-03-27,13.4,8.6,64.8,Windy
478,2020-03-27,15.2,8.5,61.8,Cloudy
479,2020-03-27,13.3,2.9,59,Cloudy
480,2020-03-27,24.9,4.9,83.3,Cloudy
481,2020-03-27,12.1,8,62.6,Windy
482,2020-03-27,21.4,14.7,70.9,Rainy
483,2020-03-28,19.9,1.1,50.3,Stormy
484,2020-03-28,14.1,6.7,52.2,Cloudy
485,2020-03-28,15.5,12.2,46,Stormy
486,2020-03-28,5,3.4,66.4,Windy
487,2020-03-28,24,5,65,Rainy
488,2020-03-28,16,7.2,69.6,Foggy
489,2020-03-29,13.5,8.4,71.7,Sunny
490,2020-03-29,14.5,15,80.5,Rainy
491,2020-03-29,11.7,6.3,75.7,Stormy
492,2020-03-29,16.2,2.4,47.4,Windy
493,2020-03-29,21.5,11.2,47.9,Windy
494,2020-03-29,15.7,8.6,69.7,Sunny
495,2020-03-29,9.2,4.3,60.1,Rainy
496,2020-03-29,13.6,5.1,58.8,Sunny
497,2020-03-29,13.6,6.4,66.1,Cloudy
498,2020-03-30,11.6,4.2,58.9,Sunny
499,2020-03-30,5.2,8.8,82.6,Stormy
500,2020-03-31,12.7,4.9,71,Stormy
501,2020-03-31,10.9,4.6,47.4,Sunny
502,2020-04-01,16,11.1,69.4,Sunny
503,2020-04-01,18.9,3.8,66.9,Sunny
504,2020-04-01,12.8,6.9,52.2,Sunny
505,2020-04-01,11.3,0,68.4,Sunny
506,2020-04-02,11.9,0.9,78.1,Stormy
507,2020-04-02,15,3.1,81.9,Cloudy
508,2020-04-03,11.3,10.7,57.5,Rainy
509,2020-04-03,23.5,3.7,64,Rainy
510,2020-04-03,19.2,14.5,75.4,Sunny
511,2020-04-03,12.5,3.4,47.5,Stormy
512,2020-04-03,14,2,87.1,Cloudy
513,2020-04-03,20.9,10.6,72.3,Foggy
514,2020-04-04,5.6,12.4,70.7,Sunny
515,2020-04-04,10.8,7.7,70.2,Cloudy
516,2020-04-04,15.9,11.6,74.3,Sunny
517,2020-04-04,10.8,8.2,75.1,Cloudy
518,2020-04-04,16.2,6.5,87.1,Sunny
519,2020-04-04,16.1,3.1,91.7,Sunny
520,2020-04-04,11.2,6.6,77.1,Foggy
521,2020-04-04,18.1,2.2,60,Rainy
522,2020-04-04,11.2,3.6,62.1,Stormy
523,2020-04-05,9.4,5.1,45.5,Foggy
524,2020-04-05,10.8,12.4,54.4,Stormy
525,2020-04-05,24.2,3.8,51.4,Rainy
526,2020-04-06,16.7,6.6,83.9,Stormy
527,2020-04-06,8.5,9.5,65.7,Sunny
528,2020-04-06,15.7,6.9,81.5,Windy
529,2020-04-06,12.1,6.4,76.7,Sunny
530,2020-04-06,14.5,4.2,55.7,Stormy
531,2020-04-06,20,1.6,71.6,Rainy
532,2020-04-06,16.9,2.7,58.2,Cloudy
533,2020-04-06,14.6,2.4,63.2,Rainy
534,2020-04-06,17,4,46.3,Sunny
535,2020-04-07,16.4,3.4,68.7,Rainy
536,2020-04-07,20.9,3.4,51.7,Stormy
537,2020-04-07,14.8,9,71.5,Windy
538,2020-04-07,18.3,13.3,60.6,Cloudy
539,2020-04-07,13.4,7.9,62.9,Foggy
540,2020-04-07,21.2,6.3,80.7,Rainy
541,2020-04-07,16.5,3,73.6,Cloudy
542,2020-04-07,18.5,9.8,75.9,Windy
