batch_id,batch_number,product_id,supplier_id,warehouse_id,quantity,procurement_cost,unit_cost,received_date,expiry_date,quality_grade,created_at
17,BT-000017,54,13,9,113.1,425.26,3.76,2024-11-29,2024-12-20,A,2024-11-29T13:22:00.626Z
18,BT-000018,54,13,5,335.3,1190.32,3.55,2025-12-27,2026-01-17,A,2025-12-27T13:22:00.626Z
19,BT-000019,54,13,12,473.7,1520.58,3.21,2025-09-17,2025-10-08,C,2025-09-17T13:22:00.626Z
20,BT-000020,54,13,6,433.1,1541.84,3.56,2024-03-26,2024-04-16,A,2024-03-26T13:22:00.626Z
21,BT-000021,54,13,6,257.8,984.8,3.82,2025-10-04,2025-10-25,C,2025-10-04T13:22:00.626Z
22,BT-000022,54,13,7,154.3,544.68,3.53,2024-11-05,2024-11-26,B,2024-11-05T13:22:00.626Z
23,BT-000023,54,13,14,200.4,617.23,3.08,2025-08-26,2025-09-16,A,2025-08-26T13:22:00.626Z
24,BT-000024,54,13,15,349.2,1054.58,3.02,2025-09-04,2025-09-25,A,2025-09-04T13:22:00.626Z
25,BT-000025,54,13,4,472.1,1779.82,3.77,2025-12-08,2025-12-29,A,2025-12-08T13:22:00.626Z
26,BT-000026,54,13,7,384,1317.12,3.43,2026-01-10,2026-01-31,A,2026-01-10T13:22:00.626Z
27,BT-000027,54,13,2,150.1,459.31,3.06,2024-12-29,2025-01-19,A,2024-12-29T13:22:00.626Z
28,BT-000028,54,13,13,129.1,432.49,3.35,2025-12-05,2025-12-26,A,2025-12-05T13:22:00.626Z
29,BT-000029,24,6,3,130.9,94.25,0.72,2025-07-01,2025-07-22,A,2025-07-01T13:22:00.626Z
30,BT-000030,24,6,9,423,418.77,0.99,2025-04-07,2025-04-28,A,2025-04-07T13:22:00.626Z
31,BT-000031,24,6,8,187.1,192.71,1.03,2025-10-22,2025-11-12,A,2025-10-22T13:22:00.626Z
32,BT-000032,24,6,6,367.4,260.85,0.71,2024-06-26,2024-07-17,A,2024-06-26T13:22:00.626Z
33,BT-000033,24,6,6,390.2,300.45,0.77,2024-04-26,2024-05-17,A,2024-04-26T13:22:00.626Z
34,BT-000034,24,6,4,463.8,329.3,0.71,2024-10-15,2024-11-05,C,2024-10-15T13:22:00.626Z
35,BT-000035,24,6,9,292.6,289.67,0.99,2025-11-14,2025-12-05,A,2025-11-14T13:22:00.626Z
36,BT-000036,24,6,5,343.5,353.81,1.03,2025-08-06,2025-08-27,B,2025-08-06T13:22:00.626Z
37,BT-000037,24,6,5,384.1,341.85,0.89,2025-06-03,2025-06-24,A,2025-06-03T13:22:00.626Z
38,BT-000038,24,6,13,422.7,308.57,0.73,2025-08-16,2025-09-06,B,2025-08-16T13:22:00.626Z
39,BT-000039,24,6,6,131.3,97.16,0.74,2025-02-13,2025-03-06,A,2025-02-13T13:22:00.626Z
40,BT-000040,24,6,12,241.7,219.95,0.91,2026-03-10,2026-03-31,B,2026-03-10T13:22:00.626Z
41,BT-000041,24,6,1,380.7,365.47,0.96,2025-12-17,2026-01-07,A,2025-12-17T13:22:00.626Z
42,BT-000042,24,6,14,71.4,54.98,0.77,2026-03-03,2026-03-24,A,2026-03-03T13:22:00.626Z
43,BT-000043,182,27,14,329,352.03,1.07,2025-04-18,2025-05-02,B,2025-04-18T13:22:00.626Z
44,BT-000044,182,27,8,62.1,59,0.95,2025-04-09,2025-04-23,A,2025-04-09T13:22:00.626Z
45,BT-000045,182,27,12,461.3,442.85,0.96,2025-11-07,2025-11-21,A,2025-11-07T13:22:00.626Z
46,BT-000046,182,27,3,118.7,99.71,0.84,2024-08-15,2024-08-29,A,2024-08-15T13:22:00.626Z
47,BT-000047,182,27,4,265.9,236.65,0.89,2025-09-25,2025-10-09,A,2025-09-25T13:22:00.626Z
48,BT-000048,182,27,10,249,206.67,0.83,2025-06-25,2025-07-09,A,2025-06-25T13:22:00.626Z
49,BT-000049,182,27,8,473.9,369.64,0.78,2024-12-19,2025-01-02,A,2024-12-19T13:22:00.626Z
50,BT-000050,182,27,1,105.1,98.79,0.94,2024-09-14,2024-09-28,B,2024-09-14T13:22:00.626Z
51,BT-000051,182,27,13,472.6,430.07,0.91,2024-10-14,2024-10-28,B,2024-10-14T13:22:00.626Z
52,BT-000052,182,27,1,215.3,187.31,0.87,2025-10-09,2025-10-23,A,2025-10-09T13:22:00.626Z
53,BT-000053,182,27,5,171.6,169.88,0.99,2026-02-22,2026-03-08,A,2026-02-22T13:22:00.626Z
54,BT-000054,182,27,14,165.9,142.67,0.86,2024-11-03,2024-11-17,A,2024-11-03T13:22:00.626Z
55,BT-000055,182,27,13,138.6,137.21,0.99,2025-11-07,2025-11-21,C,2025-11-07T13:22:00.626Z
56,BT-000056,182,27,7,486.6,369.82,0.76,2025-09-23,2025-10-07,A,2025-09-23T13:22:00.626Z
57,BT-000057,5,12,11,372.3,1876.39,5.04,2025-12-16,2025-12-23,A,2025-12-16T13:22:00.626Z
58,BT-000058,5,12,6,467.2,2111.74,4.52,2025-01-06,2025-01-13,A,2025-01-06T13:22:00.626Z
59,BT-000059,5,12,10,481.8,1700.75,3.53,2025-10-18,2025-10-25,B,2025-10-18T13:22:00.626Z
60,BT-000060,5,12,13,324.7,1490.37,4.59,2025-05-03,2025-05-10,A,2025-05-03T13:22:00.626Z
61,BT-000061,5,12,14,122.2,486.36,3.98,2024-12-23,2024-12-30,B,2024-12-23T13:22:00.626Z
62,BT-000062,5,12,12,260.2,1287.99,4.95,2026-03-05,2026-03-12,C,2026-03-05T13:22:00.626Z
63,BT-000063,5,12,8,75.7,301.29,3.98,2024-10-31,2024-11-07,A,2024-10-31T13:22:00.626Z
64,BT-000064,5,12,13,324.4,1508.46,4.65,2025-07-15,2025-07-22,B,2025-07-15T13:22:00.626Z
65,BT-000065,5,12,10,141.6,560.74,3.96,2024-03-26,2024-04-02,C,2024-03-26T13:22:00.626Z
66,BT-000066,5,12,9,456.9,2266.22,4.96,2025-12-01,2025-12-08,A,2025-12-01T13:22:00.626Z
67,BT-000067,5,12,4,213.1,1042.06,4.89,2025-04-26,2025-05-03,B,2025-04-26T13:22:00.626Z
68,BT-000068,5,12,7,147,589.47,4.01,2024-12-03,2024-12-10,C,2024-12-03T13:22:00.626Z
69,BT-000069,5,12,3,99.7,402.79,4.04,2025-11-30,2025-12-07,A,2025-11-30T13:22:00.626Z
70,BT-000070,5,12,9,229.2,925.97,4.04,2024-08-04,2024-08-11,A,2024-08-04T13:22:00.626Z
71,BT-000071,59,18,7,59.4,176.42,2.97,2024-09-17,2024-09-24,A,2024-09-17T13:22:00.626Z
72,BT-000072,59,18,9,89.3,332.2,3.72,2025-01-14,2025-01-21,C,2025-01-14T13:22:00.626Z
73,BT-000073,59,18,9,371,1116.71,3.01,2025-12-21,2025-12-28,A,2025-12-21T13:22:00.626Z
74,BT-000074,59,18,4,273.7,963.42,3.52,2025-06-22,2025-06-29,B,2025-06-22T13:22:00.626Z
75,BT-000075,59,18,1,383.3,1399.05,3.65,2025-01-13,2025-01-20,A,2025-01-13T13:22:00.626Z
76,BT-000076,59,18,15,472.6,1431.98,3.03,2024-10-11,2024-10-18,B,2024-10-11T13:22:00.626Z
77,BT-000077,59,18,7,51.9,177.5,3.42,2024-05-22,2024-05-29,A,2024-05-22T13:22:00.626Z
78,BT-000078,59,18,7,98.5,369.38,3.75,2024-08-21,2024-08-28,A,2024-08-21T13:22:00.626Z
79,BT-000079,59,18,1,469.3,1567.46,3.34,2025-01-18,2025-01-25,C,2025-01-18T13:22:00.626Z
80,BT-000080,59,18,6,54.9,202.03,3.68,2026-01-15,2026-01-22,B,2026-01-15T13:22:00.626Z
81,BT-000081,59,18,5,390.5,1233.98,3.16,2025-09-03,2025-09-10,A,2025-09-03T13:22:00.626Z
82,BT-000082,59,18,11,236.6,686.14,2.9,2025-11-14,2025-11-21,A,2025-11-14T13:22:00.626Z
83,BT-000083,59,18,6,206.4,807.02,3.91,2024-09-06,2024-09-13,A,2024-09-06T13:22:00.626Z
84,BT-000084,59,18,2,470.8,1727.84,3.67,2024-06-26,2024-07-03,A,2024-06-26T13:22:00.626Z
85,BT-000085,153,28,9,50.9,165.93,3.26,2025-04-07,2025-04-14,A,2025-04-07T13:22:00.626Z
86,BT-000086,153,28,3,324.8,1000.38,3.08,2025-08-20,2025-08-27,A,2025-08-20T13:22:00.626Z
87,BT-000087,153,28,13,163.2,536.93,3.29,2025-12-05,2025-12-12,B,2025-12-05T13:22:00.626Z
88,BT-000088,153,28,14,367.1,1497.77,4.08,2026-01-02,2026-01-09,B,2026-01-02T13:22:00.626Z
89,BT-000089,153,28,2,351.4,1511.02,4.3,2025-04-19,2025-04-26,B,2025-04-19T13:22:00.626Z
90,BT-000090,153,28,3,226.3,706.06,3.12,2024-06-21,2024-06-28,B,2024-06-21T13:22:00.626Z
91,BT-000091,153,28,13,225.1,715.82,3.18,2025-12-07,2025-12-14,C,2025-12-07T13:22:00.626Z
92,BT-000092,153,28,10,333.3,1376.53,4.13,2024-06-28,2024-07-05,C,2024-06-28T13:22:00.626Z
93,BT-000093,153,28,3,292.7,945.42,3.23,2026-01-08,2026-01-15,A,2026-01-08T13:22:00.626Z
94,BT-000094,153,28,13,491,1851.07,3.77,2024-09-29,2024-10-06,A,2024-09-29T13:22:00.626Z
95,BT-000095,153,28,15,409.8,1581.83,3.86,2025-04-18,2025-04-25,B,2025-04-18T13:22:00.626Z
96,BT-000096,153,28,1,97,372.48,3.84,2025-08-01,2025-08-08,A,2025-08-01T13:22:00.626Z
97,BT-000097,153,28,8,269.7,854.95,3.17,2024-06-26,2024-07-03,A,2024-06-26T13:22:00.626Z
98,BT-000098,153,28,2,248.2,781.83,3.15,2024-06-20,2024-06-27,A,2024-06-20T13:22:00.626Z
99,BT-000099,75,6,9,204.6,253.7,1.24,2025-01-23,2025-02-06,A,2025-01-23T13:22:00.626Z
100,BT-000100,75,6,7,416.5,578.93,1.39,2025-07-05,2025-07-19,B,2025-07-05T13:22:00.626Z
101,BT-000101,75,6,6,413.1,640.31,1.55,2025-02-24,2025-03-10,A,2025-02-24T13:22:00.626Z
102,BT-000102,75,6,1,296.8,424.42,1.43,2025-11-12,2025-11-26,A,2025-11-12T13:22:00.626Z
103,BT-000103,75,6,6,442.5,548.7,1.24,2026-02-10,2026-02-24,B,2026-02-10T13:22:00.626Z
104,BT-000104,75,6,2,200.9,243.09,1.21,2025-02-08,2025-02-22,A,2025-02-08T13:22:00.626Z
105,BT-000105,75,6,14,459.1,679.47,1.48,2025-07-26,2025-08-09,A,2025-07-26T13:22:00.626Z
106,BT-000106,75,6,10,427.7,568.84,1.33,2024-07-10,2024-07-24,A,2024-07-10T13:22:00.626Z
107,BT-000107,75,6,9,250.5,428.36,1.71,2024-11-29,2024-12-13,C,2024-11-29T13:22:00.626Z
108,BT-000108,75,6,8,443.4,625.19,1.41,2025-07-08,2025-07-22,A,2025-07-08T13:22:00.626Z
109,BT-000109,75,6,13,325.1,494.15,1.52,2025-05-17,2025-05-31,A,2025-05-17T13:22:00.626Z
110,BT-000110,75,6,1,164.6,266.65,1.62,2026-01-03,2026-01-17,A,2026-01-03T13:22:00.626Z
111,BT-000111,75,6,2,214.8,279.24,1.3,2024-05-26,2024-06-09,C,2024-05-26T13:22:00.626Z
112,BT-000112,75,6,13,84.2,111.99,1.33,2024-06-16,2024-06-30,A,2024-06-16T13:22:00.626Z
113,BT-000113,71,8,3,461.5,1439.88,3.12,2025-03-17,2025-03-24,B,2025-03-17T13:22:00.626Z
114,BT-000114,71,8,15,250.2,860.69,3.44,2024-08-05,2024-08-12,A,2024-08-05T13:22:00.626Z
115,BT-000115,71,8,3,260.6,969.43,3.72,2025-08-26,2025-09-02,A,2025-08-26T13:22:00.626Z
116,BT-000116,71,8,14,486.2,1317.6,2.71,2024-07-20,2024-07-27,A,2024-07-20T13:22:00.626Z
117,BT-000117,71,8,5,455,1478.75,3.25,2025-09-06,2025-09-13,A,2025-09-06T13:22:00.626Z
118,BT-000118,71,8,9,174.8,688.71,3.94,2024-11-28,2024-12-05,A,2024-11-28T13:22:00.626Z
119,BT-000119,71,8,13,88.1,319.8,3.63,2024-08-29,2024-09-05,B,2024-08-29T13:22:00.626Z
120,BT-000120,71,8,12,253.6,743.05,2.93,2024-12-28,2025-01-04,A,2024-12-28T13:22:00.626Z
121,BT-000121,71,8,14,171.6,636.64,3.71,2025-03-29,2025-04-05,B,2025-03-29T13:22:00.626Z
122,BT-000122,71,8,6,115.6,347.96,3.01,2025-05-17,2025-05-24,A,2025-05-17T13:22:00.626Z
123,BT-000123,71,8,15,271.1,889.21,3.28,2024-04-14,2024-04-21,A,2024-04-14T13:22:00.626Z
124,BT-000124,71,8,8,164,503.48,3.07,2026-03-05,2026-03-12,B,2026-03-05T13:22:00.626Z
125,BT-000125,71,8,8,114.1,340.02,2.98,2025-01-23,2025-01-30,A,2025-01-23T13:22:00.626Z
126,BT-000126,71,8,7,52.2,197.84,3.79,2025-08-16,2025-08-23,B,2025-08-16T13:22:00.626Z
127,BT-000127,188,4,2,75,370.5,4.94,2026-02-12,2026-02-17,C,2026-02-12T13:22:00.626Z
128,BT-000128,188,4,2,455.8,1859.66,4.08,2025-12-17,2025-12-22,A,2025-12-17T13:22:00.626Z
129,BT-000129,188,4,14,292.4,1184.22,4.05,2025-11-20,2025-11-25,B,2025-11-20T13:22:00.626Z
130,BT-000130,188,4,8,453.6,1605.74,3.54,2025-01-10,2025-01-15,A,2025-01-10T13:22:00.626Z
131,BT-000131,188,4,4,64.3,274.56,4.27,2025-10-31,2025-11-05,B,2025-10-31T13:22:00.626Z
132,BT-000132,188,4,3,252,1139.04,4.52,2024-05-20,2024-05-25,A,2024-05-20T13:22:00.626Z
133,BT-000133,188,4,11,410.8,1745.9,4.25,2025-03-06,2025-03-11,A,2025-03-06T13:22:00.626Z
134,BT-000134,188,4,15,478.9,1862.92,3.89,2024-09-20,2024-09-25,A,2024-09-20T13:22:00.626Z
135,BT-000135,188,4,10,86.5,313.13,3.62,2025-07-03,2025-07-08,A,2025-07-03T13:22:00.626Z
136,BT-000136,188,4,4,398.7,1622.71,4.07,2026-01-03,2026-01-08,A,2026-01-03T13:22:00.626Z
137,BT-000137,188,4,3,261.3,1170.62,4.48,2025-02-26,2025-03-03,A,2025-02-26T13:22:00.626Z
138,BT-000138,188,4,7,100.8,436.46,4.33,2025-12-01,2025-12-06,C,2025-12-01T13:22:00.626Z
139,BT-000139,188,4,5,285.9,1340.87,4.69,2025-05-18,2025-05-23,A,2025-05-18T13:22:00.626Z
140,BT-000140,188,4,12,274.8,1242.1,4.52,2025-05-07,2025-05-12,A,2025-05-07T13:22:00.626Z
141,BT-000141,197,17,2,109.2,630.08,5.77,2024-03-16,2024-03-19,A,2024-03-16T13:22:00.626Z
142,BT-000142,197,17,6,226.5,1087.2,4.8,2025-05-16,2025-05-19,A,2025-05-16T13:22:00.626Z
143,BT-000143,197,17,7,177.4,972.15,5.48,2025-01-20,2025-01-23,A,2025-01-20T13:22:00.626Z
144,BT-000144,197,17,7,62,278.38,4.49,2024-03-26,2024-03-29,A,2024-03-26T13:22:00.626Z
145,BT-000145,197,17,2,413.1,2305.1,5.58,2024-05-20,2024-05-23,B,2024-05-20T13:22:00.626Z
146,BT-000146,197,17,9,411.9,2075.98,5.04,2024-12-24,2024-12-27,A,2024-12-24T13:22:00.626Z
147,BT-000147,197,17,3,284.8,1597.73,5.61,2026-03-01,2026-03-04,A,2026-03-01T13:22:00.626Z
148,BT-000148,197,17,4,203.5,1007.33,4.95,2025-11-10,2025-11-13,B,2025-11-10T13:22:00.626Z
149,BT-000149,197,17,15,169.9,905.57,5.33,2025-11-23,2025-11-26,A,2025-11-23T13:22:00.626Z
150,BT-000150,197,17,14,55.7,251.21,4.51,2024-05-31,2024-06-03,A,2024-05-31T13:22:00.626Z
151,BT-000151,197,17,12,110.5,619.91,5.61,2025-11-11,2025-11-14,B,2025-11-11T13:22:00.626Z
152,BT-000152,197,17,6,488.3,2114.34,4.33,2024-06-16,2024-06-19,A,2024-06-16T13:22:00.626Z
153,BT-000153,197,17,5,247.2,1418.93,5.74,2024-08-30,2024-09-02,A,2024-08-30T13:22:00.626Z
154,BT-000154,197,17,7,208.1,1069.63,5.14,2025-06-11,2025-06-14,A,2025-06-11T13:22:00.626Z
155,BT-000155,20,17,1,331.8,1506.37,4.54,2025-09-21,2025-09-26,A,2025-09-21T13:22:00.626Z
156,BT-000156,20,17,1,412.1,1326.96,3.22,2024-09-13,2024-09-18,C,2024-09-13T13:22:00.626Z
157,BT-000157,20,17,10,91.3,319.55,3.5,2024-06-03,2024-06-08,A,2024-06-03T13:22:00.626Z
158,BT-000158,20,17,3,386.1,1525.1,3.95,2026-02-01,2026-02-06,A,2026-02-01T13:22:00.626Z
159,BT-000159,20,17,6,115.4,400.44,3.47,2024-10-08,2024-10-13,B,2024-10-08T13:22:00.626Z
160,BT-000160,20,17,6,134.2,551.56,4.11,2025-04-27,2025-05-02,B,2025-04-27T13:22:00.626Z
161,BT-000161,20,17,2,224.5,788,3.51,2024-10-20,2024-10-25,A,2024-10-20T13:22:00.626Z
162,BT-000162,20,17,5,237.9,1022.97,4.3,2025-07-02,2025-07-07,A,2025-07-02T13:22:00.626Z
163,BT-000163,20,17,9,265.3,1055.89,3.98,2024-07-14,2024-07-19,C,2024-07-14T13:22:00.626Z
164,BT-000164,20,17,9,267,1113.39,4.17,2025-12-18,2025-12-23,A,2025-12-18T13:22:00.626Z
165,BT-000165,20,17,7,340.4,1467.12,4.31,2024-03-30,2024-04-04,A,2024-03-30T13:22:00.626Z
166,BT-000166,20,17,13,457.3,1966.39,4.3,2024-12-21,2024-12-26,A,2024-12-21T13:22:00.626Z
167,BT-000167,20,17,7,324.3,1235.58,3.81,2024-07-22,2024-07-27,A,2024-07-22T13:22:00.626Z
168,BT-000168,20,17,8,418.4,1820.04,4.35,2024-12-12,2024-12-17,A,2024-12-12T13:22:00.626Z
169,BT-000169,146,21,14,108.1,618.33,5.72,2026-02-21,2026-02-26,A,2026-02-21T13:22:00.626Z
170,BT-000170,146,21,4,229.3,926.37,4.04,2025-02-20,2025-02-25,A,2025-02-20T13:22:00.626Z
171,BT-000171,146,21,12,461.1,2416.16,5.24,2025-04-16,2025-04-21,A,2025-04-16T13:22:00.626Z
172,BT-000172,146,21,15,454.2,2543.52,5.6,2024-06-22,2024-06-27,B,2024-06-22T13:22:00.626Z
173,BT-000173,146,21,14,64.5,286.38,4.44,2025-05-25,2025-05-30,A,2025-05-25T13:22:00.626Z
174,BT-000174,146,21,6,460.8,2294.78,4.98,2024-09-29,2024-10-04,A,2024-09-29T13:22:00.626Z
175,BT-000175,146,21,1,493.6,2532.17,5.13,2025-08-04,2025-08-09,A,2025-08-04T13:22:00.626Z
176,BT-000176,146,21,12,492,2130.36,4.33,2024-04-25,2024-04-30,B,2024-04-25T13:22:00.626Z
177,BT-000177,146,21,13,343.4,1723.87,5.02,2025-06-30,2025-07-05,C,2025-06-30T13:22:00.626Z
178,BT-000178,146,21,8,358.1,1615.03,4.51,2025-05-29,2025-06-03,A,2025-05-29T13:22:00.626Z
179,BT-000179,146,21,9,492.7,2310.76,4.69,2025-05-31,2025-06-05,A,2025-05-31T13:22:00.626Z
180,BT-000180,146,21,13,482.8,2554.01,5.29,2024-05-11,2024-05-16,C,2024-05-11T13:22:00.626Z
181,BT-000181,146,21,2,414.2,2344.37,5.66,2025-12-07,2025-12-12,B,2025-12-07T13:22:00.626Z
182,BT-000182,146,21,2,286.5,1260.6,4.4,2026-03-05,2026-03-10,A,2026-03-05T13:22:00.626Z
183,BT-000183,87,30,3,69.1,62.88,0.91,2025-01-15,2025-01-20,B,2025-01-15T13:22:00.626Z
184,BT-000184,87,30,5,341.1,317.22,0.93,2025-06-14,2025-06-19,A,2025-06-14T13:22:00.626Z
185,BT-000185,87,30,12,273.7,216.22,0.79,2024-12-26,2024-12-31,C,2024-12-26T13:22:00.626Z
186,BT-000186,87,30,4,366,362.34,0.99,2024-03-30,2024-04-04,A,2024-03-30T13:22:00.626Z
187,BT-000187,87,30,6,476.9,448.29,0.94,2024-08-17,2024-08-22,A,2024-08-17T13:22:00.626Z
188,BT-000188,87,30,13,294.5,235.6,0.8,2025-11-25,2025-11-30,A,2025-11-25T13:22:00.626Z
189,BT-000189,87,30,13,346.8,239.29,0.69,2025-08-14,2025-08-19,B,2025-08-14T13:22:00.626Z
190,BT-000190,87,30,10,51.8,52.84,1.02,2024-10-12,2024-10-17,B,2024-10-12T13:22:00.626Z
191,BT-000191,87,30,2,130.3,119.88,0.92,2025-07-27,2025-08-01,A,2025-07-27T13:22:00.626Z
192,BT-000192,87,30,15,373.8,317.73,0.85,2025-09-17,2025-09-22,A,2025-09-17T13:22:00.626Z
193,BT-000193,87,30,14,138.7,123.44,0.89,2025-03-01,2025-03-06,A,2025-03-01T13:22:00.626Z
194,BT-000194,87,30,15,82.3,83.12,1.01,2025-08-19,2025-08-24,B,2025-08-19T13:22:00.626Z
195,BT-000195,87,30,14,412.4,284.56,0.69,2024-04-23,2024-04-28,C,2024-04-23T13:22:00.626Z
196,BT-000196,87,30,7,341,306.9,0.9,2025-05-01,2025-05-06,A,2025-05-01T13:22:00.626Z
197,BT-000197,17,1,5,205.6,215.88,1.05,2024-12-26,2024-12-31,B,2024-12-26T13:22:00.627Z
198,BT-000198,17,1,2,233.6,284.99,1.22,2024-06-24,2024-06-29,B,2024-06-24T13:22:00.627Z
199,BT-000199,17,1,11,386.9,545.53,1.41,2026-02-25,2026-03-02,C,2026-02-25T13:22:00.627Z
200,BT-000200,17,1,3,76.4,115.36,1.51,2024-06-16,2024-06-21,A,2024-06-16T13:22:00.627Z
201,BT-000201,17,1,14,315.4,454.18,1.44,2024-08-30,2024-09-04,A,2024-08-30T13:22:00.627Z
202,BT-000202,17,1,10,82.8,109.3,1.32,2024-12-10,2024-12-15,B,2024-12-10T13:22:00.627Z
203,BT-000203,17,1,10,172.4,189.64,1.1,2025-04-01,2025-04-06,A,2025-04-01T13:22:00.627Z
204,BT-000204,17,1,10,416,653.12,1.57,2025-08-14,2025-08-19,C,2025-08-14T13:22:00.627Z
205,BT-000205,17,1,1,134.8,160.41,1.19,2024-11-05,2024-11-10,A,2024-11-05T13:22:00.627Z
206,BT-000206,17,1,11,253.3,319.16,1.26,2024-12-02,2024-12-07,B,2024-12-02T13:22:00.627Z
207,BT-000207,17,1,2,393.1,456,1.16,2025-09-25,2025-09-30,B,2025-09-25T13:22:00.627Z
208,BT-000208,17,1,7,158.7,201.55,1.27,2025-04-30,2025-05-05,A,2025-04-30T13:22:00.627Z
209,BT-000209,17,1,8,428.9,463.21,1.08,2025-08-19,2025-08-24,C,2025-08-19T13:22:00.627Z
210,BT-000210,17,1,2,157,178.98,1.14,2025-07-23,2025-07-28,C,2025-07-23T13:22:00.627Z
211,BT-000211,155,13,2,60.1,265.04,4.41,2025-08-21,2025-09-04,A,2025-08-21T13:22:00.627Z
212,BT-000212,155,13,13,357.7,1992.39,5.57,2025-12-04,2025-12-18,A,2025-12-04T13:22:00.627Z
213,BT-000213,155,13,14,290.6,1647.7,5.67,2025-04-28,2025-05-12,B,2025-04-28T13:22:00.627Z
214,BT-000214,155,13,12,139,860.41,6.19,2024-11-17,2024-12-01,A,2024-11-17T13:22:00.627Z
215,BT-000215,155,13,13,413,1895.67,4.59,2026-03-09,2026-03-23,A,2026-03-09T13:22:00.627Z
216,BT-000216,155,13,2,465.8,2128.71,4.57,2024-03-13,2024-03-27,A,2024-03-13T13:22:00.627Z
217,BT-000217,155,13,1,134.2,819.96,6.11,2025-10-01,2025-10-15,A,2025-10-01T13:22:00.627Z
218,BT-000218,155,13,8,326.2,1719.07,5.27,2025-11-10,2025-11-24,B,2025-11-10T13:22:00.627Z
219,BT-000219,155,13,14,479.1,2587.14,5.4,2024-04-07,2024-04-21,A,2024-04-07T13:22:00.627Z
220,BT-000220,155,13,6,359.7,1780.52,4.95,2025-05-28,2025-06-11,A,2025-05-28T13:22:00.627Z
221,BT-000221,155,13,13,400.9,2084.68,5.2,2026-02-22,2026-03-08,A,2026-02-22T13:22:00.627Z
222,BT-000222,155,13,14,423.1,2085.88,4.93,2025-02-01,2025-02-15,A,2025-02-01T13:22:00.627Z
223,BT-000223,155,13,2,305.1,1531.6,5.02,2025-03-20,2025-04-03,A,2025-03-20T13:22:00.627Z
224,BT-000224,155,13,12,275.6,1259.49,4.57,2024-08-21,2024-09-04,A,2024-08-21T13:22:00.627Z
225,BT-000225,8,29,11,138.6,237.01,1.71,2025-07-31,2025-08-07,A,2025-07-31T13:22:00.627Z
226,BT-000226,8,29,12,356.6,474.28,1.33,2024-11-13,2024-11-20,A,2024-11-13T13:22:00.627Z
227,BT-000227,8,29,2,322.5,399.9,1.24,2024-11-13,2024-11-20,A,2024-11-13T13:22:00.627Z
228,BT-000228,8,29,11,435.9,771.54,1.77,2024-12-20,2024-12-27,B,2024-12-20T13:22:00.627Z
229,BT-000229,8,29,5,454.6,750.09,1.65,2026-03-03,2026-03-10,B,2026-03-03T13:22:00.627Z
230,BT-000230,8,29,14,168.7,286.79,1.7,2026-01-16,2026-01-23,A,2026-01-16T13:22:00.627Z
231,BT-000231,8,29,15,331.9,461.34,1.39,2024-07-26,2024-08-02,B,2024-07-26T13:22:00.627Z
232,BT-000232,8,29,6,384.8,554.11,1.44,2024-11-12,2024-11-19,A,2024-11-12T13:22:00.627Z
233,BT-000233,8,29,8,355.6,472.95,1.33,2025-04-15,2025-04-22,B,2025-04-15T13:22:00.627Z
234,BT-000234,8,29,2,184,253.92,1.38,2025-04-12,2025-04-19,B,2025-04-12T13:22:00.627Z
