Transaction_ID,Product_ID,Store_ID,Transaction_Date,Category,Price_Elasticity_Coefficient,Promotion_Lift_Score,Inventory_Turnover_Ratio
03235948-fe38-4ada-bd90-58aeb914ca3e,PRD-0072,STR-021,2023-01-02,Toys & Games,-0.565,2.03,12.53
48e75ab7-126b-49fb-8964-a566b2948315,PRD-0165,STR-031,2023-01-04,Toys & Games,-1.48,3.48,1.22
6eccca7e-1712-466d-bd48-d3e9f9e2bf90,PRD-0172,STR-040,2023-01-04,Health & Beauty,-4.531,1.33,1.73
105a8487-00d6-4ce8-a84f-7e9aec113a31,PRD-0123,STR-049,2023-01-04,Home & Garden,-1.189,2.8,14.82
2c78aa57-10d6-4c85-9326-617b396adfc7,PRD-0189,STR-009,2023-01-03,Apparel,-2.941,1.5,1.14
7c7d7a11-9447-4d49-aed0-46493a0cd5ef,PRD-0089,STR-025,2023-01-02,Grocery,-0.634,2,1.04
b27f3843-a4c1-4bd5-a7ed-d14847d9696e,PRD-0106,STR-041,2023-01-03,Sports & Outdoors,-3.771,1.32,15.31
b0dcf6a5-b9a4-485f-b842-94b908fb7cb7,PRD-0039,STR-025,2023-01-02,Home & Garden,-2.162,2.68,16.36
f23bdcea-ece8-4a75-b344-cce9981bc52a,PRD-0143,STR-048,2023-01-04,Apparel,-2.983,1.61,1.35
1d7ca370-5061-44a2-9d72-d586663961b3,PRD-0083,STR-018,2023-01-05,Toys & Games,-2.356,3.2,16.83
b1c48b90-6618-448e-8479-41ceb4c5be68,PRD-0027,STR-008,2023-01-03,Electronics,-0.275,1.47,1.83
99c95d8b-3648-46d0-a400-9dbe0bae25b2,PRD-0154,STR-031,2023-01-04,Electronics,-1.114,3.27,19.21
e1b64933-7bc6-4870-8f30-7d183f362ce4,PRD-0082,STR-035,2023-01-04,Health & Beauty,-2.761,1.04,6.49
fb7f682d-01f6-457d-b2c6-e7cde4bcb5fb,PRD-0178,STR-002,2023-01-03,Automotive,-0.25,2.24,17.47
3dc1aee7-4310-4c91-a1bc-281bc43c7b2e,PRD-0139,STR-002,2023-01-03,Health & Beauty,-1.534,1.62,10.64
71d09345-e567-4ff9-8df0-41232b2c12af,PRD-0026,STR-023,2023-01-05,Home & Garden,-2.759,2.91,8.95
a0fee18f-4721-42bf-b488-b4ec08d1f737,PRD-0046,STR-026,2023-01-03,Home & Garden,-2.748,2.05,5.4
0dee9855-e43b-4f4d-8871-d96c3f9d6a88,PRD-0086,STR-019,2023-01-03,Home & Garden,-1.87,2.71,16.71
9e1b1ba9-bfde-45b6-98d9-2767da4ab8d8,PRD-0089,STR-045,2023-01-03,Home & Garden,-1.545,2.45,18.83
ca7a794c-be4b-4397-9eca-f51cd5093871,PRD-0126,STR-043,2023-01-06,Grocery,-1.483,1.11,4.71
45a51337-b778-4600-89ce-69b1d033b083,PRD-0152,STR-019,2023-01-03,Grocery,-1.01,1.69,4.12
dacd2743-b87b-4b58-a96b-907d1460dffe,PRD-0076,STR-022,2023-01-05,Toys & Games,-0.498,3.29,20.54
9a025e36-7e90-4c73-8122-d55da888e876,PRD-0039,STR-028,2023-01-04,Toys & Games,-0.174,3.1,6.24
bc3ee59f-8f6a-4ce9-b21f-e4d6f5399f16,PRD-0001,STR-005,2023-01-03,Electronics,-3.91,1.52,22.31
54223429-b658-44f9-b381-2601d2e5df54,PRD-0001,STR-046,2023-01-05,Grocery,-3.03,2.54,12.84
43f0f8f9-1186-43c5-b622-bd489feebbfc,PRD-0178,STR-011,2023-01-06,Apparel,-0.825,1.96,14.98
b7c30ef1-36a8-4895-8bd3-40e001df8a0b,PRD-0171,STR-037,2023-01-03,Home & Garden,-0.845,1.41,23.54
d8ef313f-230e-4f97-864b-d27ef8ef51dc,PRD-0172,STR-050,2023-01-04,Sports & Outdoors,-4.252,1.78,8.24
6fd6b5ed-806b-442b-8c6d-33570e6d8e38,PRD-0185,STR-047,2023-01-04,Electronics,-4.888,3.19,6.53
14925d10-1e35-4e15-8af0-de30f308feb1,PRD-0021,STR-038,2023-01-04,Automotive,-3.94,1.04,4.8
da4f94d7-9dca-428e-8162-37bbd2d53942,PRD-0027,STR-050,2023-01-06,Toys & Games,-0.663,1.37,12.55
8161f869-8432-4b58-a408-87cf416f1195,PRD-0044,STR-012,2023-01-04,Sports & Outdoors,-1.075,2.54,24.1
127fe93f-c474-424e-8dc7-5c475f4b42b7,PRD-0073,STR-022,2023-01-05,Toys & Games,-1.147,3.22,4.44
d79715d3-67aa-48e1-9419-afc899b44384,PRD-0040,STR-032,2023-01-05,Toys & Games,-2.715,3.47,15.64
9993c56e-6bb5-4e5c-af6d-a582d5e3bf6b,PRD-0113,STR-011,2023-01-05,Home & Garden,-4.102,3.13,7.9
3e904066-0826-4558-ae93-a7258151690f,PRD-0043,STR-014,2023-01-06,Grocery,-1.592,1.75,4.02
1e3f622a-6e96-4dac-abc2-8febd204cd09,PRD-0003,STR-031,2023-01-05,Electronics,-4.473,3.05,16.63
114480c0-7457-4828-a206-56b85be9c887,PRD-0101,STR-025,2023-01-05,Grocery,-0.292,2.32,1.08
bca8c77a-84e4-48fd-9b11-5ca9cf135020,PRD-0007,STR-021,2023-01-06,Electronics,-1.891,3.02,19.23
75b36385-9c68-4300-b97c-6d36aee5795a,PRD-0138,STR-026,2023-01-07,Grocery,-3.31,2.67,1.3
e1344192-3941-40fe-ab18-92df234c7e4c,PRD-0055,STR-036,2023-01-06,Electronics,-0.569,1.72,5.28
701a9d40-7792-4dd5-8680-eba85e946a62,PRD-0025,STR-017,2023-01-05,Health & Beauty,-2.012,3.15,15.42
6f6a2b74-7993-4d18-944e-aea20d679883,PRD-0086,STR-018,2023-01-07,Sports & Outdoors,-0.889,2.37,10.62
91b887b6-00c2-4702-b73b-efffdb8da12d,PRD-0042,STR-004,2023-01-07,Automotive,-1.432,1.71,17.97
911c6489-3f9f-42ac-aceb-b7a729946f52,PRD-0028,STR-013,2023-01-06,Grocery,-2.404,3.08,14.71
c63c9739-f8df-4f60-8c60-66bae03b5b84,PRD-0104,STR-041,2023-01-06,Toys & Games,-3.074,1.47,13.32
6fe7bd7f-e40f-4e33-ab27-1a6978ffbbf7,PRD-0069,STR-013,2023-01-05,Sports & Outdoors,-4.757,1.87,3.74
37a1f182-5c82-46ca-8c53-1e6e94528f28,PRD-0076,STR-005,2023-01-05,Home & Garden,-2.383,1.33,1.26
0219a138-a9c1-4fb8-9f79-f1c123001f73,PRD-0173,STR-050,2023-01-06,Health & Beauty,-3.039,3.04,13.39
a3be8e4b-38b9-41e7-81f9-7f6af5dfc568,PRD-0146,STR-022,2023-01-06,Automotive,-0.106,1.76,1.14
ff634f76-1143-4047-b503-695556656810,PRD-0197,STR-034,2023-01-05,Toys & Games,-1.58,1.42,5.62
22b740e4-ef07-4fd6-b7a7-6a4df713579d,PRD-0138,STR-022,2023-01-06,Apparel,-1.35,2.23,5.05
bb1f03d4-ff3c-4250-9c9b-875d91b02db2,PRD-0026,STR-050,2023-01-06,Health & Beauty,-0.815,2.34,13.86
8dcb32e0-ba9c-43ee-b053-d89352a687fd,PRD-0050,STR-012,2023-01-08,Grocery,-3.09,1.02,5.16
9d96845e-feb8-4adc-9497-8475f96a0810,PRD-0054,STR-048,2023-01-07,Home & Garden,-1.792,1.23,4.69
ee727d77-4613-4c29-a495-ec5af5ebcbc5,PRD-0014,STR-022,2023-01-06,Health & Beauty,-1.778,1.02,6.18
185576ea-6498-4166-b133-cdc011f8d79e,PRD-0122,STR-021,2023-01-08,Sports & Outdoors,-1.984,1.83,2.32
50b6dcd3-0cd0-4174-88bd-629b410458f8,PRD-0188,STR-030,2023-01-07,Grocery,-3.12,3.02,19.96
30a4f846-d198-4d97-b2cc-a0020e6dc5cb,PRD-0197,STR-011,2023-01-08,Sports & Outdoors,-0.911,1.01,15.74
e2c9e8eb-cad0-4629-88b4-2cfc6129b7f0,PRD-0018,STR-037,2023-01-09,Sports & Outdoors,-2.646,2.48,20.38
3c7c8f71-7b0c-4a1d-8095-b39204861b01,PRD-0074,STR-007,2023-01-06,Automotive,-1.681,2.74,24.65
323bde83-706c-402a-8107-706a3f4d9c8f,PRD-0069,STR-029,2023-01-08,Sports & Outdoors,-2.533,3.3,1.33
abd52054-82c5-4723-b004-10c076277b7d,PRD-0069,STR-042,2023-01-06,Health & Beauty,-3.718,1.59,5.91
41087cd3-54f4-4a4f-978b-a6a6f7c23830,PRD-0135,STR-027,2023-01-08,Apparel,-3.214,1.34,12.87
a4c0e129-6347-4171-8034-19159902b994,PRD-0026,STR-015,2023-01-08,Toys & Games,-0.489,2.91,4.25
2bd9349b-c6af-498f-9011-9632474bc1d7,PRD-0013,STR-009,2023-01-07,Apparel,-1.575,2.57,16.22
6aa4db9b-0427-41d4-bab6-f9650bb92c22,PRD-0103,STR-050,2023-01-09,Sports & Outdoors,-1.784,2.8,13.36
00724f81-ded7-47b5-9cef-9cf6dcd04dff,PRD-0066,STR-040,2023-01-09,Health & Beauty,-1.165,2.72,10.59
ca443fdb-b5e6-4dff-9e6f-c619425e0543,PRD-0036,STR-034,2023-01-08,Electronics,-0.853,1.63,7.34
5b82dd89-64e8-4742-9a8d-8cf8265d5ff6,PRD-0039,STR-036,2023-01-07,Health & Beauty,-1.277,2.05,24.47
da87ba31-4fbc-4894-b8f9-aa12fd4aa61d,PRD-0080,STR-008,2023-01-09,Automotive,-3.372,3.48,19.82
946e6ff3-8a92-4a0f-aa9e-c4c19349cb95,PRD-0190,STR-015,2023-01-07,Electronics,-1.122,3.12,19.03
6e8476a1-14e2-4c3d-984e-932e06b00c5c,PRD-0081,STR-045,2023-01-07,Grocery,-1.994,2.12,1.66
90ac9b2b-d904-49c9-902c-7d2b371c2e55,PRD-0126,STR-039,2023-01-09,Automotive,-2.739,1.03,2.02
640d3056-ab1b-4403-b8c8-d9b338f4770f,PRD-0151,STR-005,2023-01-10,Apparel,-0.125,1.14,17.21
96b35eaf-03a1-40a5-aed8-5f825102783f,PRD-0057,STR-036,2023-01-08,Toys & Games,-1.51,2.66,4.67
5cec96f7-4aa3-4a1b-9dc7-adbe2595c032,PRD-0161,STR-050,2023-01-10,Electronics,-2.306,3.1,20.97
080a6ee1-210a-4bcb-94f4-ecfe23183cd9,PRD-0149,STR-041,2023-01-08,Grocery,-2.773,2.29,15.26
9359987a-ad8c-43de-b3f1-cce0c9badd78,PRD-0073,STR-006,2023-01-09,Toys & Games,-2.973,1.43,19.59
06585b36-a60b-4589-b36f-59b451be931f,PRD-0016,STR-011,2023-01-09,Home & Garden,-2.828,2.45,12.68
431d9d5d-d431-4bba-b6d8-d6baf0643c18,PRD-0058,STR-025,2023-01-09,Electronics,-4.776,2.28,4.49
9bf6ffa0-f791-4e44-8aa1-45e77b8b04dc,PRD-0061,STR-040,2023-01-10,Electronics,-1.946,1.04,9.63
491361ab-23c6-4bc4-b62e-7d587e365c38,PRD-0180,STR-023,2023-01-10,Home & Garden,-4.87,2.98,1.23
ffb942ff-3b88-4e8c-b1a6-e46a8d4b1f22,PRD-0160,STR-030,2023-01-08,Home & Garden,-3.264,2.83,1.52
8c087ae4-acf3-4f85-95df-bb5c22b2d714,PRD-0077,STR-032,2023-01-09,Apparel,-0.767,3.29,6.34
05406d22-c759-4c55-9cbb-356d4f365eed,PRD-0200,STR-039,2023-01-09,Electronics,-3.475,2.1,24.05
cf0b8e2a-6b42-42bc-9a49-1cf297a20b09,PRD-0077,STR-015,2023-01-11,Automotive,-2.861,2.26,12.08
25667fdf-4e4f-4ecd-9b15-521d1cb06bfe,PRD-0040,STR-010,2023-01-09,Automotive,-2.02,2.63,1.27
d560db07-cdd4-44b9-be85-762bb9f8382f,PRD-0123,STR-008,2023-01-09,Grocery,-2.289,1.52,1.63
d72dd540-d577-4c85-ba9d-8ac27ec03c28,PRD-0013,STR-044,2023-01-10,Apparel,-0.569,2.34,15.6
10dc22ff-8dd9-4069-92df-31936d480b91,PRD-0032,STR-029,2023-01-09,Automotive,-3.67,1.89,16.36
f3d81520-36a8-4ae2-af63-8acacab98010,PRD-0090,STR-009,2023-01-09,Grocery,-3.659,2.23,20.68
062697d7-38a2-4da4-9115-78c5f0256aae,PRD-0047,STR-004,2023-01-08,Sports & Outdoors,-0.813,2.25,5.28
43e86eb5-10d1-45d6-b9f6-99de0571f7aa,PRD-0116,STR-033,2023-01-10,Grocery,-1.327,3.42,3.5
6a017797-af1d-492a-a0b3-7aa2464f53dc,PRD-0073,STR-036,2023-01-10,Sports & Outdoors,-4.325,2.51,9.54
f2c7a190-2449-44b1-8c9d-7e95f7b5cbdb,PRD-0066,STR-021,2023-01-10,Grocery,-4.975,1.99,3.54
d4d12e87-b714-46c7-b7dc-9d618b33dfe4,PRD-0096,STR-019,2023-01-11,Sports & Outdoors,-2.634,1.55,1.09
7e70b7bd-7799-47d6-8d19-f6161517ee94,PRD-0028,STR-041,2023-01-09,Electronics,-1.912,2.06,1.7
40d2daa4-4a57-40b6-99a9-3c7930c76cf4,PRD-0124,STR-013,2023-01-09,Grocery,-2.838,2.31,9.7
742328dc-c68a-466a-863e-411aabf4ad15,PRD-0164,STR-036,2023-01-11,Sports & Outdoors,-2.629,2.46,3.48
d1c88d1e-a303-4eb7-87e1-a5d12383e38c,PRD-0045,STR-046,2023-01-09,Automotive,-4.246,1.22,2.61
27ea7e47-2afc-4158-aa1d-534f33115f0c,PRD-0079,STR-022,2023-01-10,Electronics,-1.92,2.15,21.37
85fcdb4c-91cf-4faa-a236-032b5780e86a,PRD-0028,STR-031,2023-01-10,Toys & Games,-4.862,2.16,2.06
42985861-54a6-42d0-a232-0104bfe012e8,PRD-0020,STR-027,2023-01-10,Sports & Outdoors,-2.524,2.35,3.12
864ce2a9-59fa-43ba-8a84-0ad38bf41b03,PRD-0006,STR-035,2023-01-10,Sports & Outdoors,-0.572,2.06,7.83
bea2b4d8-44e6-41d1-a356-c12b1437eed6,PRD-0156,STR-032,2023-01-10,Grocery,-1.845,2.22,5.28
8ed197c5-f6b9-401d-ba77-7b74e424b86d,PRD-0020,STR-041,2023-01-11,Sports & Outdoors,-3.36,3.41,1.48
3afe834a-8751-44f9-b6a1-5cc7e7927776,PRD-0006,STR-005,2023-01-12,Sports & Outdoors,-0.713,1.51,9.94
7fc1800f-6a75-496b-b8ac-951a98e367bc,PRD-0045,STR-018,2023-01-12,Apparel,-1.062,2.67,19.14
a8f26e2c-64fc-47a2-9c13-ebbccec860e1,PRD-0050,STR-039,2023-01-11,Apparel,-3.66,3.16,23.5
5b71f205-7d0a-4f7b-bd13-d9efc281a728,PRD-0053,STR-013,2023-01-11,Automotive,-0.914,3.43,20.31
6b77ef67-8af3-44ad-9d20-3da0858cde4c,PRD-0112,STR-012,2023-01-11,Grocery,-2.564,1.83,4.33
af862cf6-9da0-4ea3-9cce-d49b8b1943e0,PRD-0040,STR-041,2023-01-12,Electronics,-1.295,2.17,15.49
fb0c5c3b-11d1-4cf0-906d-f7a300ee8f36,PRD-0114,STR-010,2023-01-12,Electronics,-2.769,2.84,2.71
4ecf0796-0064-494f-86a1-b3c1b9d518a8,PRD-0073,STR-041,2023-01-12,Sports & Outdoors,-1.776,1.77,12.58
bda3fb36-ce4e-49f3-96b0-8fdeb172d027,PRD-0066,STR-032,2023-01-12,Home & Garden,-4.756,1.47,20.61
3b7998f0-962f-4322-90f1-bc4d9f4f4a83,PRD-0052,STR-010,2023-01-11,Automotive,-1.953,1.41,19.46
70b5bd20-8898-431e-af07-07318f8f4654,PRD-0001,STR-019,2023-01-12,Toys & Games,-2.661,3.15,3.04
257fb409-0895-4d26-a747-da325c32e075,PRD-0115,STR-006,2023-01-12,Home & Garden,-2.985,1.44,22.4
56ec40f5-9946-4759-917b-3026c3435775,PRD-0049,STR-042,2023-01-12,Health & Beauty,-3.166,3.34,13.61
ae991ea1-6cf7-4d9e-aa9e-046300d9ee31,PRD-0185,STR-001,2023-01-12,Apparel,-0.73,2.54,3.59
04c88e20-9651-4c61-850d-b934b10aed69,PRD-0077,STR-039,2023-01-12,Toys & Games,-4.373,2.43,22.85
23485ac1-4304-4eba-afa6-303190c18247,PRD-0127,STR-003,2023-01-12,Health & Beauty,-4.213,3.42,7.27
1d2ee324-7c79-4024-848b-5b668d59d7b4,PRD-0096,STR-023,2023-01-11,Toys & Games,-3.329,2.3,9.4
3fb181ac-1f1b-4152-8244-e9b78f87c616,PRD-0039,STR-011,2023-01-12,Apparel,-1.99,1,2.16
e6121b7e-d508-4b6a-960e-36c55d12b5b6,PRD-0110,STR-002,2023-01-13,Health & Beauty,-2.856,2.64,15.03
d7d020e7-4c4f-4dd8-bd2b-305d2cd47e15,PRD-0132,STR-042,2023-01-12,Toys & Games,-2.195,2.5,4.41
e1f6afbc-649b-4e05-91ed-e17185247f07,PRD-0029,STR-042,2023-01-13,Grocery,-0.151,3.43,5.24
9501a790-3b68-4d13-bd00-235197088c3d,PRD-0054,STR-041,2023-01-14,Sports & Outdoors,-0.991,3.11,19.42
628845cf-b9cb-49ea-a7bd-519bc373a1a9,PRD-0018,STR-033,2023-01-11,Grocery,-0.312,2.38,8.47
a95092b6-1557-480b-bdd7-db758560ba0d,PRD-0005,STR-043,2023-01-13,Sports & Outdoors,-3.906,2.06,20.11
b731dca5-171a-41f9-a256-07e2aedbf0c0,PRD-0170,STR-016,2023-01-13,Automotive,-0.453,2.47,9.48
f78c1031-8e05-4f0e-852f-d1ab364eb0e5,PRD-0102,STR-050,2023-01-14,Sports & Outdoors,-1.86,2.63,2.24
d9fcff60-db8d-43d5-b11e-8f0448e368ce,PRD-0050,STR-007,2023-01-13,Toys & Games,-1.003,3.16,3.06
ecbddb94-0bf4-42b1-8063-85aa3ed1f9a9,PRD-0132,STR-012,2023-01-12,Apparel,-3.973,1.62,8.15
ed139ea4-2f61-4062-9ec7-e8678de83757,PRD-0026,STR-011,2023-01-12,Toys & Games,-1.281,1.02,6.64
1e6bbaa2-1e68-4185-b1e6-465e6d0c092c,PRD-0110,STR-032,2023-01-13,Toys & Games,-0.239,2.5,13.55
86bbde6f-c673-4146-8d0b-ef1ce877a8fa,PRD-0101,STR-012,2023-01-12,Grocery,-4.64,1.41,2.01
0d4cac81-4bfc-4c92-ab35-296ff3314999,PRD-0146,STR-028,2023-01-14,Electronics,-3.347,1.31,21.12
cd7706bc-aa64-4565-9c36-cf2b1d690a7f,PRD-0111,STR-025,2023-01-14,Grocery,-3.204,2.6,1.21
a54a03ec-00ad-48d7-a012-12b2fb182a8f,PRD-0125,STR-013,2023-01-12,Automotive,-1.16,3.2,5.75
8d9e1a1e-e693-4da9-b632-d884f1613e3b,PRD-0127,STR-012,2023-01-14,Grocery,-3.399,3.25,1.07
7c28c8af-06a7-4f0a-81d8-4676e2ad487c,PRD-0161,STR-042,2023-01-13,Electronics,-4.321,1.74,20.54
f81b7c95-5b5e-4b78-b5d7-8334fac57534,PRD-0158,STR-028,2023-01-13,Sports & Outdoors,-1.089,3.3,4.3
5c161189-9c5d-4ede-b476-0fb6d26b195e,PRD-0075,STR-001,2023-01-12,Automotive,-3.706,1.91,11.94
7ec64a3a-21af-4e34-8c46-72c9c2e5794d,PRD-0094,STR-026,2023-01-14,Sports & Outdoors,-4.795,1.81,6.64
2539128b-5227-4696-9903-ae6c8f158901,PRD-0195,STR-011,2023-01-13,Health & Beauty,-1.455,3.49,15.16
b5c6b337-fa74-4d3a-a071-8058e2c47199,PRD-0030,STR-024,2023-01-13,Toys & Games,-2.337,2.73,11.05
607d93c3-c83c-4666-b73a-67c32573e0d5,PRD-0082,STR-049,2023-01-13,Toys & Games,-4.428,3.03,21.96
9ed97d74-1110-456a-a3dd-a057907e68fb,PRD-0141,STR-044,2023-01-14,Home & Garden,-1.597,3.34,10.69
862a8937-200c-4642-b525-e7952c4cba76,PRD-0103,STR-017,2023-01-14,Electronics,-3.682,1.5,8.24
701a695b-04cb-48b3-9e15-d20dcc538eb4,PRD-0024,STR-010,2023-01-14,Health & Beauty,-4.592,1.99,10.82
78b8ff75-6a26-4e42-917b-79f302e57786,PRD-0172,STR-017,2023-01-13,Apparel,-0.691,3.06,24.56
83be93fd-65f8-436c-9de9-668370373c1b,PRD-0003,STR-020,2023-01-14,Toys & Games,-0.309,1.77,4.04
ef4ac656-7b17-4a35-a937-a9e0905e3a31,PRD-0161,STR-044,2023-01-15,Electronics,-4.195,3.17,23.83
9a8475f5-2010-4efd-b2e4-c620a7603fbf,PRD-0161,STR-031,2023-01-15,Automotive,-3.477,1.5,13.5
b4691179-de02-42e6-b4a8-be9e95f1c570,PRD-0076,STR-032,2023-01-14,Automotive,-1.255,2.78,21.7
da891750-ff2a-4340-ad76-9c7c661cce76,PRD-0038,STR-048,2023-01-14,Grocery,-4.769,3.5,8.52
a69f235c-bd61-41bb-8524-5096d9543084,PRD-0044,STR-011,2023-01-14,Health & Beauty,-4.932,2.3,23.95
f7855937-5a64-469d-ab25-ae034b89fdb8,PRD-0183,STR-038,2023-01-15,Sports & Outdoors,-0.828,1.91,10.84
d173c130-cbd6-409d-874c-defb4c1c66ea,PRD-0009,STR-032,2023-01-15,Grocery,-2.503,1.3,3.29
5e2d878c-d6c3-4a56-8889-3bba8a402be5,PRD-0084,STR-006,2023-01-14,Toys & Games,-0.77,1.03,3.63
cf835118-610e-41e8-96b1-c1c081c16e2d,PRD-0090,STR-013,2023-01-15,Sports & Outdoors,-1.548,1.72,4.45
c7ca6549-39d5-4718-ab27-702ade0ea6f3,PRD-0077,STR-046,2023-01-14,Home & Garden,-4.203,1.08,4.93
cbb7c99e-65b2-4959-a70a-6d69e35564f6,PRD-0191,STR-011,2023-01-14,Sports & Outdoors,-4.399,2.38,16.54
82c60713-52d7-4402-a48f-8f4fcf45a51c,PRD-0179,STR-014,2023-01-16,Grocery,-4.176,2.79,13.61
9564e99e-8dee-4212-a7fa-ba1c34e22fca,PRD-0153,STR-031,2023-01-14,Apparel,-1.754,3.14,2.82
4c5bb7b4-0668-4fc6-b273-de420f1f0095,PRD-0064,STR-045,2023-01-16,Home & Garden,-1.381,1.56,17.77
841e6f19-6ea9-422b-bce4-f9f34ac80f55,PRD-0026,STR-037,2023-01-16,Grocery,-0.777,3.24,13.61
8c741f50-8cbf-48f8-b36d-84301937ebd1,PRD-0126,STR-022,2023-01-15,Sports & Outdoors,-0.563,2.86,5.36
0bed8337-51b0-4f4b-a885-eb0cb5b4ac2d,PRD-0131,STR-042,2023-01-14,Grocery,-2.831,1.9,1.05
c182cfb9-7096-49c5-9d60-d96b760c3cba,PRD-0146,STR-037,2023-01-15,Electronics,-0.23,1.41,7.19
ec36e528-743f-45e5-a678-c536e2605f7f,PRD-0127,STR-034,2023-01-16,Sports & Outdoors,-0.962,2.56,14.83
a07343a0-908a-4583-bf9b-0dbc56101f1f,PRD-0172,STR-046,2023-01-16,Sports & Outdoors,-4.251,2.15,23.87
05c73443-fb3c-4337-a3b0-491313a2bb15,PRD-0016,STR-047,2023-01-16,Home & Garden,-2.257,3.25,2.65
9acd359e-ff82-42f3-8368-97e5d27e95f8,PRD-0087,STR-043,2023-01-16,Automotive,-2.647,2.3,1.11
7b13b8c3-31d6-4fa2-bdd3-caf7bc50999b,PRD-0133,STR-014,2023-01-15,Grocery,-2.259,2.89,2.99
b3bc7ef8-7ba7-42c6-9e17-1f26842e8b47,PRD-0081,STR-045,2023-01-17,Toys & Games,-4.723,1.99,21.2
6f17e70c-cafd-4487-8c35-44237fee2286,PRD-0070,STR-050,2023-01-17,Sports & Outdoors,-3.213,2.61,3.66
